1.732 2.597 6.001 
1.121 2.638 6.371 
1.494 2.499 6.142 
1.386 2.867 5.953 
1.758 2.552 5.888 
1.101 3.242 6.476 
1.11 2.744 6.344 
1.447 3.461 5.673 
1.236 3.089 6.294 
1.308 2.579 6.047 
1.333 2.626 6.009 
1.089 3.657 6.016 
1.357 3.234 5.874 
1.253 2.976 6.217 
1.18 3.424 6.075 
1.169 2.742 6.365 
1.346 2.803 5.978 
1.304 2.58 6.015 
1.09 3.297 6.598 
1.467 2.976 5.722 
1.35 2.579 6.019 
1.514 2.805 5.725 
1.09 3.677 5.936 
1.249 2.986 6.232 
1.083 3.319 6.125 
1.525 3.116 5.688 
1.281 2.921 6.277 
1.123 3.018 6.314 
1.368 2.812 5.973 
1.305 4.147 5.878 
