1.281 3.188 5.726 
1.931 3.323 5.591 
1.393 2.607 6.176 
1.164 3.462 5.694 
1.407 2.642 6.145 
1.527 2.63 6.123 
0.996 3.526 5.822 
1.23 3.182 5.881 
1.822 2.568 6.09 
1.413 2.889 5.7 
1.125 3.489 5.891 
1.282 2.573 6.88 
1.241 3.135 5.739 
1.167 3.368 5.624 
1.838 2.528 6.176 
1.468 2.634 5.996 
1.903 2.743 5.785 
1.488 2.867 5.695 
1.128 3.444 5.946 
0.989 3.102 6.264 
1.259 2.912 5.776 
0.859 3.002 6.514 
1.286 2.657 6.015 
1.855 3.019 5.642 
1.063 2.939 6.135 
0.747 3.527 6.974 
1.318 2.75 5.815 
1.807 2.626 6.091 
1.07 2.89 6.401 
1.287 2.604 6.754 
1.037 3.12 6.16 
0.858 3.368 6.083 
1.307 2.902 5.793 
0.825 3.58 6.545 
0.988 2.927 6.292 
1.104 2.816 6.242 
1.85 2.604 6.054 
1.286 2.635 6.808 
1.339 3.132 5.664 
1.448 2.606 6.124 
