1.946 3.43 6.824 
1.582 3.375 7.139 
1.158 4.502 6.437 
1.715 3.24 7.184 
1.478 3.44 7.147 
2.019 3.295 7.025 
1.079 4.65 6.278 
2.128 3.479 6.735 
1.415 3.33 7.221 
1.442 3.357 7.195 
2.007 3.263 7.055 
1.091 4.549 6.145 
1.887 3.425 6.919 
1.758 3.666 7.066 
2.358 4.201 6.373 
1.534 4.294 6.402 
2.299 4.271 6.266 
2.304 4.041 6.396 
1.672 4.269 6.337 
2.284 4.211 6.291 
2.295 4.153 6.513 
2.148 3.39 7.004 
1.394 3.883 6.575 
1.974 4.447 6.327 
2.696 4.822 6.14 
2.168 3.329 6.549 
1.353 3.759 6.664 
