1.949 3.616 6.9 
1.983 3.695 6.816 
1.582 4.11 7.019 
1.792 3.862 6.99 
1.89 3.797 6.853 
2.211 3.498 7.324 
1.767 4.131 6.725 
1.794 3.526 7.377 
1.5 4.135 7.005 
1.975 4.09 6.468 
1.827 3.694 7.288 
2.427 3.115 7.229 
1.537 4.115 6.885 
1.993 4.147 6.375 
1.687 3.912 6.909 
2.172 3.65 6.751 
1.865 3.607 7.141 
1.511 4.132 6.79 
2.118 3.783 6.414 
1.887 3.525 7.168 
2.289 3.644 6.48 
1.907 4.272 6.694 
1.915 4.053 6.657 
1.641 3.879 7.131 
1.745 3.936 6.732 
2.263 3.415 7.207 
1.868 3.545 7.244 
1.978 3.784 6.458 
2.404 3.191 7.208 
1.866 3.831 6.708 
1.525 4.114 6.985 
1.215 3.989 7.042 
2.002 3.826 6.272 
1.942 3.502 7.142 
2.663 3.423 6.792 
1.914 4.221 6.533 
1.813 3.328 7.525 
2.508 3.601 6.763 
1.669 3.921 6.994 
1.808 3.819 7.293 
1.732 3.454 7.408 
1.862 3.601 7.322 
