0.796 3.254 5.73 
0.921 2.936 5.724 
0.987 2.362 6.478 
0.829 3.252 5.609 
0.99 2.468 5.615 
0.579 2.734 5.803 
0.829 2.356 6.525 
0.964 2.65 5.786 
1.138 2.213 5.54 
0.755 3.36 5.547 
1.001 2.409 5.666 
1.072 2.239 5.491 
0.565 2.809 6.047 
0.806 2.49 5.983 
1.097 2.877 5.424 
1.042 2.563 5.442 
1.1 3.38 5.367 
0.922 2.927 5.779 
0.716 2.704 6.035 
0.85 2.23 6.616 
1.005 2.374 5.712 
0.793 3.308 5.654 
0.825 3.298 5.707 
0.981 2.765 5.511 
0.804 2.259 6.6 
0.975 2.724 5.619 
0.9 2.962 5.414 
1.022 2.592 5.426 
0.694 2.698 6.391 
0.946 2.697 5.709 
0.831 3.33 5.588 
0.989 3.274 5.4 
