2.494 4.129 6.306 
3.074 3.038 8.768 
2.145 4.676 6.598 
3.108 3.87 6.395 
1.225 3.365 8.287 
1.611 3.54 6.819 
1.842 3.164 8.333 
2.187 4.585 6.637 
2.205 4.226 6.58 
1.964 3.355 7.604 
1.904 3.425 7.246 
2.711 3.994 6.631 
1.776 3.315 8.026 
1.737 3.328 8.095 
2.242 3.127 7.186 
3.067 3.74 6.497 
2.01 4.083 6.723 
1.784 3.483 7.78 
2.944 3.074 7.138 
2.843 3.57 6.533 
2.575 3.807 6.664 
2.381 3.329 7.166 
3.05 3.766 6.428 
2.051 3.518 7.125 
2.122 3.525 6.988 
2.841 3.418 6.875 
2.495 3.964 6.702 
2.213 3.32 7.868 
2.865 3.343 6.937 
2.563 3.878 6.711 
