population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud
,,,S4,0.637125758,0.293502556,0.069371686,0.578559864,0.052986936,0.3684532,0.720928156,0.200725545,0.078346299,0.382440787,0.261610568,0.355948645,0.073599739,0.838311579,0.088088682,0.844450287,0.131574213,0.0239755,0.601197381,0.065186928,0.333615691,0.627288677,0.294569231,0.078142092
,,,S5,0.873200547,0.085839098,0.040960354,0.676660735,0.239516689,0.083822575,0.608477382,0.380874814,0.010647804,0.955456603,0.039816633,0.004726764,0.725604841,0.262482322,0.011912837,0.554870357,0.273130124,0.171999519,0.737555872,0.059819365,0.202624763,0.046676526,0.787921531,0.165401942
,,,S6,0.62019666,0.334823645,0.044979695,0.435085628,0.100308523,0.464605849,0.553044751,0.255270954,0.191684295,0.174052853,0.623780115,0.202167033,0.807413452,0.147437778,0.045148769,0.910782728,0.04092402,0.048293252,0.333556144,0.412249491,0.254194365,0.466022008,0.317051218,0.216926775
,,,S7,0.906713427,0.085442171,0.007844402,0.026604174,0.411689865,0.561705961,0.749156104,0.078825194,0.172018702,0.275491643,0.234794434,0.489713923,0.526555952,0.141732767,0.331711281,0.073675504,0.530888433,0.395436063,0.931406191,0.058619351,0.009974458,0.917465718,0.051108749,0.031425532
,,,S8,0.992409494,0.000590486,0.00700002,0.274406423,0.515033929,0.210559648,0.780968385,0.074350191,0.144681424,0.255424128,0.109800316,0.634775556,0.816226112,0.139947067,0.043826821,0.906246292,0.088930183,0.004823525,0.560189721,0.134423793,0.305386486,0.950344281,0.012361958,0.037293761
,,,S9,0.687193121,0.295067848,0.01773903,0.916004656,0.059330896,0.024664448,0.743497199,0.058473318,0.198029483,0.937831343,0.024583591,0.037585066,0.567551268,0.377984047,0.054464685,0.933171797,0.061313223,0.005514979,0.478807871,0.377304267,0.143887862,0.086862952,0.172729799,0.74040725
10,120,1,S1,0.217713285,0.109411418,0.672875297,0.549585973,0.272501971,0.177912056,0.79213634,0.166350048,0.041513612,0.113938669,0.819259363,0.066801969,0.210757986,0.221043463,0.56819855,0.009431357,0.054740466,0.935828177,0.166221986,0.102257351,0.731520664,0.690172579,0.224539639,0.085287782
,,,S2,0.217713285,0.109411418,0.672875297,0.549585973,0.272501971,0.177912056,0.79213634,0.166350048,0.041513612,0.113938669,0.819259363,0.066801969,0.688230632,0.119399285,0.192370084,0.113705879,0.00024957,0.88604455,0.166221986,0.102257351,0.731520664,0.690172579,0.224539639,0.085287782
,,,S3,0.217713285,0.109411418,0.672875297,0.244452609,0.052231093,0.703316297,0.879429838,0.018195656,0.102374506,0.166202608,0.637020764,0.196776629,0.960116806,0.01186258,0.028020614,0.210743663,0.786340429,0.002915908,0.508247352,0.399669737,0.092082911,0.453055203,0.54371501,0.003229787
,,,S4,0.217713285,0.109411418,0.672875297,0.549585973,0.272501971,0.177912056,0.79213634,0.166350048,0.041513612,0.113938669,0.819259363,0.066801969,0.210757986,0.221043463,0.56819855,0.009431357,0.054740466,0.935828177,0.14721226,0.825762904,0.027024836,0.123126453,0.395086813,0.481786734
