NormalActuate,AlertActuate,CriticalActuate
3.371,4.603,7.663
3.394,4.677,7.72
2.881,4.901,9.231
3.277,4.508,7.579
2.892,4.774,7.898
2.55,4.561,8.775
2.63,5.955,8.929
3.128,4.619,8.136
3.206,5.529,7.887
3.353,4.445,8.816
4.076,4.31,8.476
2.769,5.548,7.832
3.031,4.989,8.27
3.306,5.275,7.648
3.521,5.5,7.697
4.042,5.515,7.83
2.981,4.448,7.856
3.579,4.399,8.929
3.787,5.132,8.221
3.868,5.072,8.048
3.529,5.079,7.526
3.335,4.603,7.299
3.424,4.926,7.276
2.544,5.233,8.052
3.889,5.743,8.645
4.064,4.499,7.847
4.5,6.999,9.248
3.541,5.332,8.609
4.1,4.535,7.899
4.062,4.83,8.431
3.555,4.848,8.186
3.985,4.995,7.444
3.033,4.945,9.305
3.157,5.057,8.808
3.39,4.705,9.597
3.029,6.167,8.046
3.66,4.692,7.814
3.331,4.64,9.614
3.265,6.086,7.65
3.569,4.813,7.789
2.91,4.885,8.207
2.248,6.138,8.532
2.253,6.192,8.473
4.307,6.67,9.049
3.144,4.911,8.603
2.605,5.071,7.688
2.244,4.893,7.899
2.389,4.785,7.567
2.197,4.864,7.812
4.533,6.688,9.324
2.347,5.012,7.884
2.279,5.01,7.824
2.225,4.889,7.948
3.654,5.291,9.021
3.076,5.395,7.843
4.034,5.429,9.135
3.288,4.186,8.191
3.081,5.46,8.053
3.105,5.417,7.612
3.513,4.405,8.261
4.011,4.25,8.058
3.028,5.152,10.407
3.24,5.167,7.522
3.518,5.546,7.771
3.008,4.236,8.0
3.189,5.034,9.867
3.725,5.426,8.81
3.473,4.873,7.766
3.949,4.489,7.804
3.026,4.805,7.93
3.268,5.272,7.858
3.188,4.464,8.008
3.203,5.314,7.641
3.176,4.961,9.079
3.172,4.975,8.712
2.267,5.158,9.316
3.743,5.807,7.313
3.037,5.012,7.686
2.4,5.034,9.212
3.303,4.631,8.393
3.181,5.193,7.853
4.365,4.616,7.988
2.985,4.893,8.311
3.327,5.54,8.247
3.011,5.087,8.458
4.34,4.68,7.969
3.72,5.591,8.173
2.698,4.665,8.663
3.955,4.845,9.581
3.11,5.177,7.935
3.757,5.428,8.26
4.407,4.383,7.809
4.003,5.067,7.877
2.526,4.58,8.397
3.442,5.114,7.928
3.347,5.37,8.242
3.621,6.098,7.52
2.787,5.507,8.08
3.96,5.536,7.385
3.564,4.722,7.983
4.0,5.614,7.626
3.075,4.873,8.007
4.778,5.113,7.767
3.681,5.843,7.837
2.488,4.827,8.77
2.67,6.252,7.465
3.41,5.629,7.888
2.945,5.038,7.469
2.867,4.957,7.391
3.008,4.792,7.5
6.609,8.403,9.459
2.725,4.847,7.139
2.849,4.842,7.475
2.83,4.801,7.439
2.793,4.693,7.306
2.896,5.027,7.458
2.937,4.933,7.475
2.615,4.512,8.228
3.352,5.705,8.132
3.08,4.884,8.746
3.311,5.552,7.917
3.021,6.296,8.57
3.305,4.879,9.053
2.558,5.034,8.324
2.749,4.257,8.802
2.534,4.403,8.321
2.911,4.748,7.55
2.159,5.963,8.93
2.593,4.927,8.168
2.844,4.685,8.18
2.558,4.335,8.296
2.884,5.098,7.443
3.229,5.791,7.806
2.356,4.385,7.885
2.936,5.353,7.539
2.956,5.253,7.547
2.238,5.945,9.037
2.908,5.369,7.573
2.344,4.331,8.353
2.538,4.45,8.625
2.9,5.634,7.44
2.472,4.378,8.415
2.388,4.331,8.387
2.188,5.804,7.79
2.144,5.613,7.408
3.82,5.229,7.625
2.7,4.593,8.643
1.97,5.592,7.453
3.885,3.984,8.187
3.108,5.861,8.024
2.192,5.627,7.451
3.663,4.372,7.812
2.196,5.622,7.413
2.883,4.699,8.766
2.781,4.495,8.282
2.023,5.449,7.368
3.167,4.264,7.907
3.068,4.387,7.608
3.7,3.999,8.336
2.756,4.741,7.942
2.064,5.727,7.612
3.236,4.202,7.944
2.608,4.565,8.697
2.863,4.338,7.657
3.508,3.851,7.946
2.673,4.804,7.361
