NormalActuate,AlertActuate,CriticalActuate
2.87,3.836,6.733
2.594,4.184,7.022
2.808,3.547,6.902
2.128,3.528,7.701
3.059,3.458,6.716
2.425,3.729,6.864
2.09,3.706,7.182
2.623,3.398,7.527
2.071,3.472,7.795
2.173,3.98,7.063
2.996,4.176,6.623
3.34,3.809,6.754
2.226,3.657,6.64
1.67,4.251,7.307
1.687,4.035,6.64
1.973,4.003,7.127
2.873,3.703,6.86
1.915,3.123,7.072
1.748,4.012,7.091
2.852,3.313,6.732
3.388,4.271,6.785
3.12,4.756,6.936
1.899,3.747,6.505
1.822,3.665,6.489
1.885,3.618,6.617
1.633,3.997,6.662
1.856,3.591,6.562
1.601,3.924,6.656
2.06,5.457,6.881
2.456,3.178,7.176
1.667,4.278,7.058
1.482,3.494,7.254
2.161,3.374,6.816
2.12,4.658,6.575
1.914,5.39,6.842
1.452,3.564,7.042
1.871,4.495,6.965
1.557,3.577,7.834
2.372,3.309,6.914
3.035,3.994,6.794
1.836,4.219,6.545
2.604,5.358,6.132
1.949,4.087,6.627
2.042,4.247,6.861
2.521,3.975,6.515
2.083,3.928,7.85
2.201,3.595,7.37
2.824,3.655,7.172
2.27,3.923,6.624
2.935,3.316,7.087
2.606,3.593,7.078
2.517,3.951,6.444
1.952,4.289,6.627
2.141,3.411,7.474
2.183,3.594,7.295
2.334,3.835,6.507
2.822,3.637,6.941
1.966,3.705,6.809
2.107,4.641,6.501
1.885,4.191,6.896
2.013,4.007,7.439
2.171,5.069,6.163
2.834,3.425,6.586
2.163,3.688,6.798
2.124,4.177,6.979
2.365,3.564,6.584
2.029,3.951,7.049
2.305,3.426,7.454
2.422,3.566,7.165
1.799,3.829,8.01
2.592,4.306,7.914
2.163,4.427,6.983
2.328,3.806,7.219
2.197,3.615,7.528
2.185,3.55,7.672
2.232,4.397,6.934
2.209,3.401,7.661
2.232,4.537,6.953
2.311,4.013,6.714
2.288,3.968,6.716
2.216,4.331,6.681
3.233,3.247,8.82
2.177,4.747,6.496
3.17,3.842,6.7
1.229,3.344,8.111
1.648,3.532,6.972
2.216,3.354,8.366
2.175,4.766,6.622
2.279,4.343,6.57
2.293,3.383,7.988
2.199,3.323,7.021
2.752,4.048,6.646
1.958,3.625,8.141
1.908,3.602,8.35
2.251,3.115,7.2
3.11,3.754,6.617
2.096,4.01,6.794
1.681,3.509,7.574
3.054,3.249,7.416
3.186,3.469,6.536
2.587,3.927,6.537
2.289,3.237,7.255
3.278,3.799,6.67
2.19,3.584,7.02
2.152,3.54,7.041
2.843,3.509,6.901
2.141,4.132,6.985
2.176,3.293,7.844
2.794,3.385,6.907
2.441,3.74,6.569
2.597,3.22,6.973
2.429,3.955,6.601
2.133,3.816,6.761
2.066,3.684,6.964
2.717,3.053,6.929
1.52,3.648,6.676
2.305,3.688,6.667
2.556,3.253,6.922
1.869,3.318,6.817
3.0,3.221,7.132
2.064,4.423,6.562
1.817,3.45,6.939
2.648,3.945,6.548
1.888,4.187,6.755
1.952,4.051,6.889
2.42,3.791,6.687
1.52,4.244,6.853
2.264,3.927,6.547
1.775,3.948,6.689
2.276,3.197,7.443
2.652,3.998,6.239
2.335,3.136,7.179
2.036,3.41,6.888
2.129,3.563,6.526
2.421,4.094,6.607
1.888,3.519,7.181
2.391,3.329,7.292
1.87,3.891,6.99
2.03,3.453,7.427
2.501,3.49,7.328
2.469,3.887,6.891
2.905,3.537,6.961
2.196,3.352,7.088
2.372,4.345,7.025
1.515,3.309,7.867
2.181,3.458,7.062
1.901,3.83,7.427
2.115,3.789,7.267
1.463,3.613,7.759
1.272,3.904,6.921
2.574,4.056,6.683
2.212,4.423,6.449
1.912,4.168,6.568
2.523,4.359,7.142
3.543,4.316,7.126
3.684,4.119,7.55
2.116,3.889,7.071
3.336,4.883,7.001
2.365,4.014,7.255
3.291,4.273,7.075
2.179,3.99,7.199
2.573,3.826,7.306
2.519,4.11,6.849
2.087,4.033,7.384
2.541,4.005,7.047
2.722,4.256,7.189
2.903,3.891,7.507
2.059,3.991,7.281
2.115,3.477,7.122
2.648,4.095,7.269
2.628,4.166,7.063
2.929,3.925,7.649
2.089,4.057,6.97
2.887,4.109,7.386
2.701,4.434,7.576
3.195,4.787,6.472
1.617,4.439,6.423
2.963,4.537,6.451
2.811,4.332,6.252
1.638,4.346,6.065
2.989,4.544,6.428
3.022,4.541,6.536
2.159,3.444,7.085
1.392,3.843,6.616
1.993,4.426,6.307
2.702,4.775,6.145
2.202,3.31,6.723
1.412,3.812,6.7
1.982,3.894,7.293
1.996,4.172,7.262
1.702,4.154,6.874
1.867,3.881,7.038
2.04,4.254,7.348
2.16,3.424,7.108
1.838,4.185,6.698
1.865,3.59,7.505
1.515,4.111,7.061
1.884,4.184,6.148
1.941,3.856,7.15
2.423,3.212,7.223
1.483,4.111,7.06
2.052,4.17,6.527
1.904,4.425,7.548
2.189,3.59,6.672
1.861,3.551,7.217
1.546,4.103,6.693
1.968,3.746,6.345
1.927,3.572,7.233
2.252,3.613,6.598
1.85,4.324,6.667
1.934,3.616,6.455
1.844,3.965,7.117
1.755,4.161,6.688
2.225,3.49,7.244
1.781,3.49,7.499
1.988,3.72,6.6
2.443,3.075,7.163
1.832,4.077,6.85
1.441,4.03,6.806
1.24,4.104,7.242
2.017,3.725,6.308
1.937,3.621,7.187
2.586,3.318,6.745
1.971,4.265,6.695
1.807,3.334,7.459
2.369,3.616,6.569
1.691,4.031,7.108
1.837,3.975,7.332
1.731,3.39,7.489
1.727,3.695,7.277
2.488,3.319,6.921
1.757,4.308,7.069
2.413,3.968,6.716
2.581,3.316,7.175
2.692,4.143,6.921
2.303,3.343,6.678
2.048,3.83,6.832
1.7,4.25,6.65
1.991,4.143,6.71
1.796,3.596,6.878
2.749,3.949,6.536
2.5,4.585,6.248
2.378,4.335,6.571
1.57,4.222,6.929
2.508,3.304,7.112
2.114,3.528,6.688
1.837,3.605,7.074
1.756,3.286,7.81
1.635,4.126,7.037
1.884,3.808,7.105
1.41,3.704,7.434
2.236,3.301,7.61
2.049,4.361,6.762
2.903,3.41,7.708
1.574,3.996,7.083
1.994,3.81,6.947
2.264,3.903,7.073
1.928,3.679,7.034
2.402,3.718,6.724
2.339,3.73,7.4
2.016,4.307,6.59
2.83,3.329,7.452
2.008,3.859,6.997
1.782,4.018,6.713
1.961,4.378,6.573
1.727,4.255,6.736
2.19,4.459,6.553
1.861,3.271,7.651
1.907,3.521,6.959
2.657,3.411,6.477
2.156,3.938,6.613
2.247,3.398,6.935
1.534,4.094,7.383
1.905,3.496,7.277
2.514,3.453,6.767
1.774,3.7,7.202
1.971,3.584,7.163
