population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud
10,60,2,S1,0.718516501,0.269232235,0.012251265,0.382811932,0.270295617,0.346892451,0.890267203,0.059703513,0.050029284,0.919673425,0.003448473,0.076878102,0.007756981,0.894056254,0.098186765,0.94129416,0.01694813,0.04175771,0.032261845,0.139674293,0.828063862,0.411599934,0.006531681,0.581868385
,,,S2=S5,0.961445356,0.017303341,0.021251303,0.132225587,0.226178362,0.64159605,0.596534752,0.376692383,0.026772864,0.919673425,0.003448473,0.076878102,0.007756981,0.894056254,0.098186765,0.94129416,0.01694813,0.04175771,0.032261845,0.139674293,0.828063862,0.517491729,0.307383852,0.175124418
,,,S3=S6,0.718516501,0.269232235,0.012251265,0.382811932,0.270295617,0.346892451,0.890267203,0.059703513,0.050029284,0.919673425,0.003448473,0.076878102,0.007756981,0.894056254,0.098186765,0.94129416,0.01694813,0.04175771,0.032261845,0.139674293,0.828063862,0.517491729,0.307383852,0.175124418
,,,S4,0.961445356,0.017303341,0.021251303,0.132225587,0.226178362,0.64159605,0.596534752,0.376692383,0.026772864,0.919673425,0.003448473,0.076878102,0.065827077,0.521617095,0.412555827,0.625375788,0.302095205,0.072529007,0.437970969,0.083660247,0.478368784,0.878522623,0.005853935,0.115623442
,,,S5=S2,0.961445356,0.017303341,0.021251303,0.132225587,0.226178362,0.64159605,0.596534752,0.376692383,0.026772864,0.919673425,0.003448473,0.076878102,0.007756981,0.894056254,0.098186765,0.94129416,0.01694813,0.04175771,0.032261845,0.139674293,0.828063862,0.517491729,0.307383852,0.175124418
,,,S6=S3,0.718516501,0.269232235,0.012251265,0.382811932,0.270295617,0.346892451,0.890267203,0.059703513,0.050029284,0.919673425,0.003448473,0.076878102,0.007756981,0.894056254,0.098186765,0.94129416,0.01694813,0.04175771,0.032261845,0.139674293,0.828063862,0.517491729,0.307383852,0.175124418
,,,S7,0.718516501,0.269232235,0.012251265,0.845905245,0.004875787,0.149218969,0.596534752,0.376692383,0.026772864,0.919673425,0.003448473,0.076878102,0.007756981,0.894056254,0.098186765,0.664421716,0.334438036,0.001140247,0.642406104,0.229103925,0.128489971,0.517491729,0.307383852,0.175124418
,,,S8,0.718516501,0.269232235,0.012251265,0.382811932,0.270295617,0.346892451,0.890267203,0.059703513,0.050029284,0.919673425,0.003448473,0.076878102,0.065827077,0.521617095,0.412555827,0.625375788,0.302095205,0.072529007,0.437970969,0.083660247,0.478368784,0.878522623,0.005853935,0.115623442
30,60,2,S1=S6,0.920446215,0.052893077,0.026660708,0.697034414,0.198940887,0.104024699,0.882205963,0.035926807,0.08186723,0.46520736,0.34000601,0.19478663,0.59013521,0.131084695,0.278780095,0.435597143,0.111364345,0.453038512,0.225291207,0.509560792,0.265148001,0.182710721,0.435297405,0.381991874
,,,S2,0.825270234,0.119204555,0.055525211,0.6023898,0.346973465,0.050636735,0.813725779,0.110201049,0.076073172,0.114851606,0.497630188,0.387518206,0.144456479,0.281984537,0.573558984,0.375808606,0.22555909,0.398632304,0.689079559,0.18714653,0.123773911,0.65003985,0.333095543,0.016864607
