population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud,NormalActuate,AlertActuate,CriticalActuate,,
120,360,4,S1,0.759227732,0.028404233,0.212368035,0.439789644,0.09996366,0.460246696,0.360795992,0.568820456,0.070383552,0.837911766,0.099827965,0.062260268,0.047561627,0.02489799,0.927540383,0.293201754,0.392534699,0.314263547,0.453605975,0.229045489,0.317348536,0.796652199,0.107644337,0.095703464,2.798,6.731,8.042,,70
,,,S2,0.933209059,0.053801681,0.01298926,0.075315992,0.736770908,0.187913101,0.347781366,0.134976912,0.517241722,0.112912991,0.871624106,0.015462903,0.415833675,0.14144895,0.442717375,0.518630223,0.441300925,0.040068852,0.072863754,0.75761551,0.169520736,0.612918739,0.113911504,0.273169756,3.273,4.489,7.795,,54
,,,S3,0.978119454,0.000193002,0.021687543,0.221794168,0.556382394,0.221823439,0.138585553,0.832617108,0.028797339,0.746714322,0.240570252,0.012715425,0.232427698,0.064885046,0.702687255,0.197173084,0.33535752,0.467469396,0.665757173,0.161514781,0.172728046,0.309717868,0.248193725,0.442088407,2.882,5.662,7.881,,116
,,,S4,0.559954687,0.241506087,0.198539226,0.691922378,0.239335938,0.068741684,0.687439724,0.184213493,0.128346782,0.447167467,0.444607577,0.108224956,0.169343882,0.027493426,0.803162692,0.699219191,0.180295597,0.120485213,0.237840389,0.685018412,0.077141199,0.96459842,0.006740956,0.028660624,2.995,5.469,7.606,,20
,,,S5,0.933209059,0.053801681,0.01298926,0.075315992,0.736770908,0.187913101,0.347781366,0.134976912,0.517241722,0.112912991,0.871624106,0.015462903,0.415833675,0.14144895,0.442717375,0.518630223,0.441300925,0.040068852,0.072863754,0.75761551,0.169520736,0.612918739,0.113911504,0.273169756,3.192,4.502,7.66,,26
,,,S6,0.290212669,0.66488294,0.04490439,0.122612754,0.718881894,0.158505351,0.327822026,0.61033357,0.061844404,0.944901971,0.044410141,0.010687888,0.383839183,0.320410813,0.295750004,0.353240737,0.038134657,0.608624607,0.484447308,0.020887565,0.494665127,0.03150908,0.8854985,0.082992419,2.809,5.282,7.844,,105
,,,S7,0.983067039,0.00075477,0.016178191,0.484460494,0.041324621,0.474214885,0.353405662,0.485846178,0.16074816,0.770157588,0.18710206,0.042740351,0.587054102,0.09502499,0.317920908,0.814159275,0.051079765,0.13476096,0.031590266,0.406802578,0.561607155,0.516347677,0.441567344,0.042084978,2.535,4.527,8.107,,53
,,,S8,0.782813443,0.202173941,0.015012616,0.487285439,0.322747115,0.189967446,0.728676022,0.242600033,0.028723945,0.689469055,0.300866879,0.009664067,0.005236098,0.412202065,0.582561838,0.455982672,0.510481293,0.033536035,0.563283217,0.247726534,0.188990249,0.940773675,0.046210008,0.013016318,2.979,5.403,8.127,,169
,,,S9,0.933209059,0.053801681,0.01298926,0.075315992,0.736770908,0.187913101,0.347781366,0.134976912,0.517241722,0.112912991,0.871624106,0.015462903,0.415833675,0.14144895,0.442717375,0.518630223,0.441300925,0.040068852,0.072863754,0.75761551,0.169520736,0.612918739,0.113911504,0.273169756,3.113,4.444,8.049,,17
,,,S10,0.937477633,0.005221184,0.057301183,0.114240987,0.694129065,0.191629948,0.282504049,0.101901212,0.615594739,0.665844263,0.132982949,0.201172787,0.123710178,0.347035477,0.529254345,0.481739005,0.170826735,0.34743426,0.707638911,0.17433891,0.11802218,0.03150908,0.8854985,0.082992419,4.05,5.839,7.462,,40
