population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud,NormalActuate,AlertActuate,CriticalActuate,
,,,S5,0.823343384,0.042817481,0.133839135,0.047305542,0.634963582,0.317730876,0.13524022,0.842559644,0.022200136,0.592589657,0.198105244,0.209305099,0.820231851,0.102703115,0.077065034,0.830804423,0.034269438,0.134926138,0.060878944,0.488248133,0.450872923,0.833887708,0.031422016,0.134690275,4.076,4.31,8.476,90
,,,S6,0.596286323,0.283614124,0.120099552,0.615548951,0.071692726,0.312758322,0.657704387,0.288396817,0.053898795,0.67169349,0.169180216,0.159126294,0.250661238,0.203490348,0.545848414,0.269595472,0.032272755,0.698131774,0.029425333,0.851109225,0.119465442,0.907026705,0.073977948,0.018995347,2.769,5.548,7.832,135
,,,S7,0.84347601,0.133026611,0.023497379,0.575299755,0.021628675,0.40307157,0.477568556,0.069394702,0.453036742,0.377396509,0.387697175,0.234906316,0.192969915,0.285235688,0.521794397,0.51514643,0.227210112,0.257643458,0.228790334,0.75325558,0.017954087,0.301140126,0.151770875,0.547088999,3.031,4.989,8.27,129
,,,S8,0.629926423,0.269587156,0.100486421,0.139039232,0.241951463,0.619009306,0.04765953,0.414656688,0.537683781,0.386677397,0.583371751,0.029950852,0.480515785,0.193244064,0.326240151,0.033027904,0.492787313,0.474184783,0.447784597,0.406619387,0.145596016,0.160442149,0.668800584,0.170757267,3.306,5.275,7.648,46
,,,S9,0.959738167,0.02848042,0.011781413,0.165886122,0.792414022,0.041699856,0.440096118,0.312729758,0.247174124,0.544068175,0.210010406,0.245921419,0.204604459,0.07784109,0.717554452,0.207499211,0.675871609,0.11662918,0.61493641,0.230548199,0.154515391,0.677168387,0.311163269,0.011668344,3.521,5.5,7.697,24445
60,60,4,S1,0.053587899,0.814457091,0.13195501,0.409406942,0.364062456,0.226530602,0.313052913,0.248831959,0.438115128,0.573617695,0.02147294,0.404909364,0.71373595,0.049635824,0.236628225,0.376686535,0.310254222,0.313059244,0.218894468,0.594561348,0.186544183,0.280691653,0.494247883,0.225060463,4.042,5.515,7.83,37
,,,S2,0.887026751,0.079410282,0.033562967,0.340718458,0.599518103,0.059763439,0.730825716,0.043336907,0.225837377,0.251744605,0.315515479,0.432739916,0.109672175,0.464151885,0.42617594,0.993172186,0.006009286,0.000818528,0.162026323,0.472207428,0.365766249,0.672166602,0.054349925,0.273483474,2.981,4.448,7.856,99
,,,S3,0.059795802,0.709044277,0.231159921,0.057905382,0.526375788,0.41571883,0.35822322,0.161924216,0.479852565,0.838023079,0.079519059,0.082457862,0.292085439,0.67362652,0.034288041,0.399299324,0.476088171,0.124612505,0.220204522,0.028661631,0.751133847,0.914825897,0.013949626,0.071224477,3.579,4.399,8.929,30
10,120,4,S1,0.615241558,0.364822376,0.019936066,0.289304919,0.636135225,0.074559856,0.138644487,0.305784249,0.555571264,0.566438475,0.237828392,0.195733132,0.196660995,0.31718516,0.486153845,0.841597447,0.071062042,0.087340512,0.218706276,0.742886858,0.038406866,0.337768345,0.662066358,0.000165297,3.787,5.132,8.221,182
,,,S2,0.615241558,0.364822376,0.019936066,0.289304919,0.636135225,0.074559856,0.138644487,0.305784249,0.555571264,0.566438475,0.237828392,0.195733132,0.196660995,0.31718516,0.486153845,0.841597447,0.071062042,0.087340512,0.218706276,0.742886858,0.038406866,0.813516251,0.111519741,0.074964008,3.868,5.072,8.048,29
,,,S3,0.615241558,0.364822376,0.019936066,0.289304919,0.636135225,0.074559856,0.138644487,0.305784249,0.555571264,0.280674889,0.668665691,0.050659421,0.066033341,0.576557767,0.357408892,0.266829298,0.659260674,0.073910028,0.620369178,0.308178391,0.071452431,0.337768345,0.662066358,0.000165297,3.529,5.079,7.526,11
,,,S4,0.991751234,0.003289055,0.004959711,0.534631384,0.033560706,0.43180791,0.259636746,0.035467533,0.704895721,0.280674889,0.668665691,0.050659421,0.196660995,0.31718516,0.486153845,0.841597447,0.071062042,0.087340512,0.218706276,0.742886858,0.038406866,0.726855962,0.175891775,0.097252263,3.335,4.603,7.299,9
,,,S5,0.615241558,0.364822376,0.019936066,0.289304919,0.636135225,0.074559856,0.138644487,0.305784249,0.555571264,0.280674889,0.668665691,0.050659421,0.196660995,0.31718516,0.486153845,0.266829298,0.659260674,0.073910028,0.620369178,0.308178391,0.071452431,0.337768345,0.662066358,0.000165297,3.424,4.926,7.276,97
30,120,4,S1,0.096756516,0.893245853,0.009997631,0.87083702,0.098017282,0.031145698,0.018039606,0.883318919,0.098641475,0.161902761,0.831140329,0.00695691,0.093296789,0.309182261,0.59752095,0.691851696,0.243358946,0.064789358,0.830916459,0.061684742,0.107398799,0.96149366,0.007210224,0.031296115,2.544,5.233,8.052,23
,,,S2,0.481811639,0.12861237,0.389575991,0.384931815,0.456185604,0.158882581,0.098764734,0.576519786,0.32471548,0.699891309,0.19416633,0.105942361,0.305761678,0.191697393,0.50254093,0.396571789,0.165073255,0.438354956,0.149231447,0.648773137,0.201995416,0.678270923,0.005384813,0.316344264,3.889,5.743,8.645,42
,,,S3,0.778304847,0.108517951,0.113177202,0.993745568,0.00415253,0.002101902,0.189425963,0.132066688,0.678507349,0.419570808,0.240206376,0.340222816,0.429673395,0.200284988,0.370041617,0.935341529,0.028089088,0.036569383,0.144944072,0.571198545,0.283857383,0.661640315,0.145902935,0.19245675,4.064,4.499,7.847,17
,,,S4,0.872194505,0.074610466,0.053195029,0.152412559,0.17647101,0.671116431,0.644217483,0.285093328,0.070689188,0.022525572,0.485027713,0.492446715,0.112208579,0.15552921,0.732262212,0.063437142,0.202543212,0.734019647,0.803021958,0.120622593,0.076355449,0.586287639,0.327416231,0.086296131,4.5,6.999,9.248,30
,,,S5,0.976813745,0.011277712,0.011908542,0.300533472,0.668104853,0.031361675,0.48901586,0.433081778,0.077902362,0.45925844,0.252069339,0.288672221,0.558235475,0.256444446,0.185320079,0.358905089,0.222936376,0.418158535,0.252807363,0.279657871,0.467534766,0.192263056,0.645877271,0.161859673,3.541,5.332,8.609,59
,,,S6,0.778304847,0.108517951,0.113177202,0.993745568,0.00415253,0.002101902,0.189425963,0.132066688,0.678507349,0.419570808,0.240206376,0.340222816,0.429673395,0.200284988,0.370041617,0.935341529,0.028089088,0.036569383,0.144944072,0.571198545,0.283857383,0.661640315,0.145902935,0.19245675,4.1,4.535,7.899,61
,,,S7,0.481811639,0.12861237,0.389575991,0.384931815,0.456185604,0.158882581,0.098764734,0.576519786,0.32471548,0.419570808,0.240206376,0.340222816,0.429673395,0.200284988,0.370041617,0.935341529,0.028089088,0.036569383,0.144944072,0.571198545,0.283857383,0.661640315,0.145902935,0.19245675,4.062,4.83,8.431,62
,,,S8,0.096756516,0.893245853,0.009997631,0.87083702,0.098017282,0.031145698,0.667245971,0.156203375,0.176550654,0.630023897,0.064969282,0.305006821,0.068988944,0.618291822,0.312719234,0.98007185,0.017766794,0.002161356,0.433059446,0.283268985,0.283671569,0.039550889,0.445826548,0.514622563,3.555,4.848,8.186,134
,,,S9,0.778304847,0.108517951,0.113177202,0.046236061,0.817485665,0.136278274,0.099624074,0.091581405,0.808794521,0.469319362,0.490269138,0.0404115,0.386979073,0.24792119,0.365099736,0.484906475,0.301554457,0.213539068,0.219937573,0.675033193,0.105029234,0.78428476,0.088199003,0.127516237,3.985,4.995,7.444,54
,,,S10,0.037054329,0.769421936,0.193523736,0.291103146,0.152029528,0.556867326,0.762924765,0.214147796,0.02292744,0.971204286,0.015251751,0.013543963,0.010424842,0.927827488,0.06174767,0.540600899,0.091734346,0.367664755,0.210411387,0.014958922,0.774629691,0.386677397,0.116673975,0.496648629,3.033,4.945,9.305,122
60,120,4,S1,0.846926269,0.134502255,0.018571476,0.077016168,0.218389841,0.70459399,0.209959616,0.237042192,0.552998192,0.959005206,0.002247985,0.038746809,0.54034828,0.330741437,0.128910283,0.189242371,0.579717741,0.231039889,0.171470202,0.688721567,0.139808231,0.161766373,0.318304396,0.51992923,3.157,5.057,8.808,233
,,,S2,0.90486551,0.009974696,0.085159794,0.608484851,0.100501675,0.291013475,0.338523778,0.053071298,0.608404923,0.981008639,0.003511025,0.015480335,0.101917096,0.66659022,0.231492685,0.659745981,0.276233295,0.064020725,0.345823352,0.122133572,0.532043076,0.213818998,0.022827254,0.763353747,3.39,4.705,9.597,128
,,,S3,0.850018925,0.141470326,0.008510749,0.367299717,0.097527864,0.535172418,0.455226403,0.035049094,0.509724503,0.964913735,0.00209904,0.032987226,0.384013582,0.231505337,0.384481082,0.142179207,0.134856855,0.722963938,0.044137133,0.46046313,0.495399737,0.580607038,0.385837631,0.033555331,3.029,6.167,8.046,40
,,,S4,0.189138738,0.75641376,0.054447502,0.407208378,0.402345334,0.190446288,0.141924136,0.159707904,0.69836796,0.883451479,0.094567675,0.021980846,0.328085401,0.44731608,0.224598519,0.001994174,0.71255625,0.285449575,0.425967131,0.21747481,0.35655806,0.31418213,0.552080315,0.133737555,3.66,4.692,7.814,16
,,,S5,0.90486551,0.009974696,0.085159794,0.608484851,0.100501675,0.291013475,0.338523778,0.053071298,0.608404923,0.981008639,0.003511025,0.015480335,0.101917096,0.66659022,0.231492685,0.659745981,0.276233295,0.064020725,0.345823352,0.122133572,0.532043076,0.213818998,0.022827254,0.763353747,3.331,4.64,9.614,84
,,,S6,0.649323415,0.192770731,0.157905854,0.668754337,0.183069066,0.148176597,0.169492434,0.656569579,0.173937987,0.78888967,0.092339217,0.118771113,0.180661796,0.056471515,0.76286669,0.213788744,0.151549103,0.634662152,0.465529645,0.496982413,0.037487942,0.690755303,0.204449506,0.104795191,3.265,6.086,7.65,121
120,120,4,S1,0.778705589,0.133757931,0.087536479,0.600946579,0.052704057,0.346349364,0.058854517,0.605604635,0.335540849,0.931756513,0.028167383,0.040076103,0.307312508,0.410393491,0.282294,0.862946901,0.088057706,0.048995393,0.427921978,0.390169753,0.181908269,0.933139447,0.045949797,0.020910756,3.569,4.813,7.789,250
,,,S2,0.901018344,0.098540091,0.000441565,0.552149001,0.189623624,0.258227375,0.175430108,0.770287607,0.054282284,0.616733062,0.280556529,0.102710409,0.703150892,0.016650885,0.280198223,0.670895078,0.251302683,0.077802239,0.306755727,0.153921506,0.539322768,0.814597221,0.132505637,0.052897142,2.91,4.885,8.207,75
,,,S3,0.22244773,0.755956168,0.021596101,0.436137767,0.096100997,0.467761236,0.48012617,0.409060431,0.110813399,0.715182624,0.199421977,0.085395399,0.261697069,0.306796796,0.431506134,0.210482954,0.024098438,0.765418608,0.050070304,0.210847538,0.739082159,0.354859755,0.449226335,0.19591391,2.248,6.138,8.532,22
,,,S4,0.803601842,0.163747475,0.032650683,0.271197966,0.119553571,0.609248464,0.628272099,0.201830019,0.169897882,0.6735855,0.311885664,0.014528836,0.311319094,0.033233955,0.655446951,0.618792475,0.094688592,0.286518933,0.032660997,0.311372856,0.655966147,0.701246725,0.218067205,0.08068607,2.253,6.192,8.473,240
10,180,4,S1=S7,0.099561812,0.890591557,0.009846631,0.605511424,0.343650879,0.050837697,0.61297869,0.065554892,0.321466418,0.624183898,0.316649477,0.059166625,0.033049308,0.044704057,0.922246635,0.68084261,0.250529975,0.068627416,0.836597474,0.013914334,0.149488192,0.523215679,0.413692943,0.063091378,4.307,6.67,9.049,30
,,,S2,0.100575916,0.831310896,0.068113187,0.818737476,0.136649034,0.044613491,0.445306259,0.121484284,0.433209457,0.224777995,0.726444396,0.048777609,0.075469702,0.615454284,0.309076014,0.725670642,0.100445597,0.173883761,0.618839895,0.137402786,0.243757319,0.547644319,0.051272617,0.401083064,3.144,4.911,8.603,39
,,,S3=S5,0.825243227,0.168871769,0.005885004,0.022505848,0.865376412,0.11211774,0.541780799,0.002208831,0.45601037,0.842505272,0.120756334,0.036738394,0.083165694,0.416414962,0.500419344,0.24649915,0.743143603,0.010357247,0.043078187,0.631446494,0.325475319,0.523215679,0.413692943,0.063091378,2.605,5.071,7.688,134
,,,S4=S6=S9=S10,0.825243227,0.168871769,0.005885004,0.022505848,0.865376412,0.11211774,0.61297869,0.065554892,0.321466418,0.842505272,0.120756334,0.036738394,0.083165694,0.416414962,0.500419344,0.24649915,0.743143603,0.010357247,0.043078187,0.631446494,0.325475319,0.559816654,0.163571838,0.276611508,2.244,4.893,7.899,66
,,,S5=S3,0.825243227,0.168871769,0.005885004,0.022505848,0.865376412,0.11211774,0.541780799,0.002208831,0.45601037,0.842505272,0.120756334,0.036738394,0.083165694,0.416414962,0.500419344,0.24649915,0.743143603,0.010357247,0.043078187,0.631446494,0.325475319,0.523215679,0.413692943,0.063091378,2.389,4.785,7.567,31
,,,S6=S4=S9=S10,0.825243227,0.168871769,0.005885004,0.022505848,0.865376412,0.11211774,0.61297869,0.065554892,0.321466418,0.842505272,0.120756334,0.036738394,0.083165694,0.416414962,0.500419344,0.24649915,0.743143603,0.010357247,0.043078187,0.631446494,0.325475319,0.559816654,0.163571838,0.276611508,2.197,4.864,7.812,19
,,,S7=S1,0.099561812,0.890591557,0.009846631,0.605511424,0.343650879,0.050837697,0.61297869,0.065554892,0.321466418,0.624183898,0.316649477,0.059166625,0.033049308,0.044704057,0.922246635,0.68084261,0.250529975,0.068627416,0.836597474,0.013914334,0.149488192,0.523215679,0.413692943,0.063091378,4.533,6.688,9.324,22
,,,S8,0.825243227,0.168871769,0.005885004,0.022505848,0.865376412,0.11211774,0.61297869,0.065554892,0.321466418,0.842505272,0.120756334,0.036738394,0.083165694,0.416414962,0.500419344,0.24649915,0.743143603,0.010357247,0.043078187,0.631446494,0.325475319,0.523215679,0.413692943,0.063091378,2.347,5.012,7.884,124
,,,S9=S4=S6=S10,0.825243227,0.168871769,0.005885004,0.022505848,0.865376412,0.11211774,0.61297869,0.065554892,0.321466418,0.842505272,0.120756334,0.036738394,0.083165694,0.416414962,0.500419344,0.24649915,0.743143603,0.010357247,0.043078187,0.631446494,0.325475319,0.559816654,0.163571838,0.276611508,2.279,5.01,7.824,37
,,,S10=S4=S6=S9,0.825243227,0.168871769,0.005885004,0.022505848,0.865376412,0.11211774,0.61297869,0.065554892,0.321466418,0.842505272,0.120756334,0.036738394,0.083165694,0.416414962,0.500419344,0.24649915,0.743143603,0.010357247,0.043078187,0.631446494,0.325475319,0.559816654,0.163571838,0.276611508,2.225,4.889,7.948,61
30,180,4,S1,0.765074978,0.100380065,0.134544957,0.572778547,0.278906893,0.14831456,0.670442615,0.307265093,0.022292292,0.815441376,0.086030112,0.098528512,0.492440096,0.107079934,0.40047997,0.020194452,0.890272699,0.08953285,0.251421204,0.232291083,0.516287713,0.799236663,0.058511151,0.142252186,3.654,5.291,9.021,19
,,,S2,0.90508748,0.058254156,0.036658363,0.380517543,0.546679292,0.072803164,0.10800831,0.41015541,0.48183628,0.963585526,0.027860863,0.008553612,0.432765435,0.159960599,0.407273966,0.371676606,0.126755171,0.501568223,0.435571749,0.421787207,0.142641045,0.24337845,0.619253169,0.137368381,3.076,5.395,7.843,749
,,,S3,0.765074978,0.100380065,0.134544957,0.572778547,0.278906893,0.14831456,0.670442615,0.307265093,0.022292292,0.815441376,0.086030112,0.098528512,0.492440096,0.107079934,0.40047997,0.020194452,0.890272699,0.08953285,0.251421204,0.232291083,0.516287713,0.799236663,0.058511151,0.142252186,4.034,5.429,9.135,368
,,,S4,0.90508748,0.058254156,0.036658363,0.380517543,0.546679292,0.072803164,0.10800831,0.41015541,0.48183628,0.963585526,0.027860863,0.008553612,0.692854689,0.14252764,0.164617671,0.808458922,0.013976102,0.177564977,0.052114651,0.861606281,0.086279068,0.987412091,0.008992657,0.003595252,3.288,4.186,8.191,53
,,,S5,0.71483427,0.17956899,0.10559674,0.762330903,0.147741498,0.089927599,0.301226306,0.480792782,0.217980912,0.935423418,0.026281669,0.038294913,0.432765435,0.159960599,0.407273966,0.371676606,0.126755171,0.501568223,0.435571749,0.421787207,0.142641045,0.24337845,0.619253169,0.137368381,3.081,5.46,8.053,146
,,,S6,0.90508748,0.058254156,0.036658363,0.380517543,0.546679292,0.072803164,0.10800831,0.41015541,0.48183628,0.963585526,0.027860863,0.008553612,0.432765435,0.159960599,0.407273966,0.371676606,0.126755171,0.501568223,0.435571749,0.421787207,0.142641045,0.799236663,0.058511151,0.142252186,3.105,5.417,7.612,138
,,,S7,0.71483427,0.17956899,0.10559674,0.762330903,0.147741498,0.089927599,0.10800831,0.41015541,0.48183628,0.963585526,0.027860863,0.008553612,0.692854689,0.14252764,0.164617671,0.808458922,0.013976102,0.177564977,0.052114651,0.861606281,0.086279068,0.987412091,0.008992657,0.003595252,3.513,4.405,8.261,49
,,,S8,0.624968788,0.312828744,0.062202468,0.579371227,0.296965535,0.123663238,0.106594989,0.446732944,0.446672067,0.252067355,0.027643682,0.720288962,0.604072766,0.237331713,0.158595521,0.739065804,0.258480999,0.002453197,0.015264469,0.530132828,0.454602704,0.755481688,0.17938352,0.065134792,4.011,4.25,8.058,12
,,,S9,0.765074978,0.100380065,0.134544957,0.572778547,0.278906893,0.14831456,0.670442615,0.307265093,0.022292292,0.815441376,0.086030112,0.098528512,0.492440096,0.107079934,0.40047997,0.020194452,0.890272699,0.08953285,0.103182051,0.027096561,0.869721388,0.104185947,0.350671944,0.545142109,3.028,5.152,10.407,139
,,,S10,0.90508748,0.058254156,0.036658363,0.380517543,0.546679292,0.072803164,0.10800831,0.41015541,0.48183628,0.963585526,0.027860863,0.008553612,0.432765435,0.159960599,0.407273966,0.371676606,0.126755171,0.501568223,0.435571749,0.421787207,0.142641045,0.799236663,0.058511151,0.142252186,3.24,5.167,7.522,45
,,,S11,0.71483427,0.17956899,0.10559674,0.762330903,0.147741498,0.089927599,0.10800831,0.41015541,0.48183628,0.963585526,0.027860863,0.008553612,0.432765435,0.159960599,0.407273966,0.371676606,0.126755171,0.501568223,0.435571749,0.421787207,0.142641045,0.799236663,0.058511151,0.142252186,3.518,5.546,7.771,65
,,,S12,0.71483427,0.17956899,0.10559674,0.762330903,0.147741498,0.089927599,0.10800831,0.41015541,0.48183628,0.963585526,0.027860863,0.008553612,0.692854689,0.14252764,0.164617671,0.808458922,0.013976102,0.177564977,0.015264469,0.530132828,0.454602704,0.755481688,0.17938352,0.065134792,3.008,4.236,8,61
,,,S13,0.290084885,0.525312091,0.184603024,0.380517543,0.546679292,0.072803164,0.670442615,0.307265093,0.022292292,0.815441376,0.086030112,0.098528512,0.492440096,0.107079934,0.40047997,0.020194452,0.890272699,0.08953285,0.103182051,0.027096561,0.869721388,0.104185947,0.350671944,0.545142109,3.189,5.034,9.867,64
,,,S14,0.765074978,0.100380065,0.134544957,0.572778547,0.278906893,0.14831456,0.670442615,0.307265093,0.022292292,0.815441376,0.086030112,0.098528512,0.492440096,0.107079934,0.40047997,0.020194452,0.890272699,0.08953285,0.251421204,0.232291083,0.516287713,0.24337845,0.619253169,0.137368381,3.725,5.426,8.81,28
,,,S15,0.326744483,0.670651798,0.00260372,0.337348681,0.154531622,0.508119697,0.193160188,0.239902537,0.566937275,0.935423418,0.026281669,0.038294913,0.692854689,0.14252764,0.164617671,0.808458922,0.013976102,0.177564977,0.052114651,0.861606281,0.086279068,0.799236663,0.058511151,0.142252186,3.473,4.873,7.766,120
,,,S16,0.624968788,0.312828744,0.062202468,0.579371227,0.296965535,0.123663238,0.106594989,0.446732944,0.446672067,0.252067355,0.027643682,0.720288962,0.604072766,0.237331713,0.158595521,0.608848782,0.384345193,0.006806025,0.034283985,0.627455333,0.338260682,0.989637543,0.004156729,0.006205727,3.949,4.489,7.804,246
,,,S17,0.290084885,0.525312091,0.184603024,0.287350561,0.474133005,0.238516433,0.243877641,0.580916185,0.175206173,0.636885351,0.26405912,0.099055529,0.663018378,0.042641617,0.294340005,0.768166866,0.153175464,0.07865767,0.015264469,0.530132828,0.454602704,0.755481688,0.17938352,0.065134792,3.026,4.805,7.93,31
,,,S18,0.90508748,0.058254156,0.036658363,0.380517543,0.546679292,0.072803164,0.10800831,0.41015541,0.48183628,0.963585526,0.027860863,0.008553612,0.432765435,0.159960599,0.407273966,0.371676606,0.126755171,0.501568223,0.435571749,0.421787207,0.142641045,0.24337845,0.619253169,0.137368381,3.268,5.272,7.858,91
,,,S19,0.71483427,0.17956899,0.10559674,0.762330903,0.147741498,0.089927599,0.10800831,0.41015541,0.48183628,0.963585526,0.027860863,0.008553612,0.692854689,0.14252764,0.164617671,0.808458922,0.013976102,0.177564977,0.015264469,0.530132828,0.454602704,0.755481688,0.17938352,0.065134792,3.188,4.464,8.008,31
,,,S20,0.71483427,0.17956899,0.10559674,0.762330903,0.147741498,0.089927599,0.10800831,0.41015541,0.48183628,0.963585526,0.027860863,0.008553612,0.432765435,0.159960599,0.407273966,0.371676606,0.126755171,0.501568223,0.435571749,0.421787207,0.142641045,0.799236663,0.058511151,0.142252186,3.203,5.314,7.641,47
,,,S21,0.290084885,0.525312091,0.184603024,0.380517543,0.546679292,0.072803164,0.670442615,0.307265093,0.022292292,0.815441376,0.086030112,0.098528512,0.492440096,0.107079934,0.40047997,0.020194452,0.890272699,0.08953285,0.103182051,0.027096561,0.869721388,0.24337845,0.619253169,0.137368381,3.176,4.961,9.079,211
,,,S22,0.450908694,0.394276922,0.154814384,0.287350561,0.474133005,0.238516433,0.243877641,0.580916185,0.175206173,0.636885351,0.26405912,0.099055529,0.663018378,0.042641617,0.294340005,0.204550028,0.754180085,0.041269886,0.294204121,0.094700608,0.611095271,0.989637543,0.004156729,0.006205727,3.172,4.975,8.712,28
60,180,4,S1,0.905543223,0.05250208,0.041954697,0.76393886,0.208092372,0.027968768,0.729266081,0.148520147,0.122213772,0.714632552,0.225091966,0.060275482,0.065673267,0.391875418,0.542451315,0.922784898,0.004759946,0.072455156,0.256585638,0.04193024,0.701484123,0.086102764,0.504972516,0.40892472,2.267,5.158,9.316,79
,,,S2,0.971655268,0.001062995,0.027281737,0.129137356,0.758436481,0.112426163,0.038598593,0.786716094,0.174685313,0.876105951,0.073061814,0.050832235,0.143810025,0.330553007,0.525636967,0.113888392,0.056157091,0.829954517,0.878785828,0.092273497,0.028940676,0.778998098,0.187248363,0.033753539,3.743,5.807,7.313,54
,,,S3,0.905543223,0.05250208,0.041954697,0.000105875,0.299722826,0.700171299,0.221442984,0.408739375,0.369817641,0.42237708,0.482822977,0.094799943,0.203652419,0.305232518,0.491115063,0.25389301,0.605185192,0.140921798,0.334310897,0.381725151,0.283963953,0.497995092,0.245777127,0.256227781,3.037,5.012,7.686,53
,,,S4,0.905543223,0.05250208,0.041954697,0.846202721,0.08809585,0.06570143,0.802362401,0.140232367,0.057405232,0.714437738,0.262794273,0.022767989,0.130477093,0.487324698,0.38219821,0.860481803,0.004085059,0.135433137,0.290557631,0.009985747,0.699456622,0.276321701,0.157202504,0.566475795,2.4,5.034,9.212,32
,,,S5,0.971655268,0.001062995,0.027281737,0.129137356,0.758436481,0.112426163,0.038598593,0.786716094,0.174685313,0.847320161,0.094170293,0.058509547,0.515167428,0.272934492,0.211898081,0.720464155,0.041843454,0.237692391,0.400788685,0.149737355,0.44947396,0.253643022,0.197307815,0.549049162,3.303,4.631,8.393,35
,,,S6,0.905543223,0.05250208,0.041954697,0.000105875,0.299722826,0.700171299,0.221442984,0.408739375,0.369817641,0.42237708,0.482822977,0.094799943,0.203652419,0.305232518,0.491115063,0.25389301,0.605185192,0.140921798,0.334310897,0.381725151,0.283963953,0.354934924,0.583039476,0.062025601,3.181,5.193,7.853,75
