population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud
10,60,5,S1,0.069033828,0.683520626,0.247445546,0.697677183,0.184162741,0.118160077,0.837880614,0.011230762,0.150888624,0.756761366,0.079085654,0.16415298,0.241453189,0.294993855,0.463552956,0.84911788,0.104469677,0.046412442,0.011677534,0.483303478,0.505018989,0.46527523,0.52990791,0.00481686
,,,S2,0.069033828,0.683520626,0.247445546,0.871115793,0.00842422,0.120459986,0.13356977,0.424308453,0.442121777,0.019744169,0.063793632,0.916462199,0.827491184,0.082559084,0.089949732,0.84911788,0.104469677,0.046412442,0.011677534,0.483303478,0.505018989,0.46527523,0.52990791,0.00481686
,,,S3,0.706394967,0.087908615,0.205696418,0.472156823,0.153283504,0.374559673,0.13356977,0.424308453,0.442121777,0.019744169,0.063793632,0.916462199,0.827491184,0.082559084,0.089949732,0.84911788,0.104469677,0.046412442,0.011677534,0.483303478,0.505018989,0.46527523,0.52990791,0.00481686
,,,S4,0.069033828,0.683520626,0.247445546,0.697677183,0.184162741,0.118160077,0.837880614,0.011230762,0.150888624,0.756761366,0.079085654,0.16415298,0.241453189,0.294993855,0.463552956,0.097650786,0.820312014,0.0820372,0.011677534,0.483303478,0.505018989,0.46527523,0.52990791,0.00481686
,,,S5,0.23437303,0.002521243,0.763105726,0.871115793,0.00842422,0.120459986,0.13356977,0.424308453,0.442121777,0.019744169,0.063793632,0.916462199,0.827491184,0.082559084,0.089949732,0.097650786,0.820312014,0.0820372,0.266822747,0.577633311,0.155543942,0.301579248,0.45494091,0.243479843
30,60,5,S1,0.552681415,0.278315858,0.169002727,0.18072914,0.15405741,0.66521345,0.403536088,0.082636753,0.513827159,0.192177453,0.486473701,0.321348846,0.105168201,0.602902138,0.291929661,0.327955033,0.418583249,0.253461717,0.648108263,0.130953552,0.220938184,0.053142913,0.885650433,0.061206654
,,,S2,0.686003813,0.294177345,0.019818842,0.367433153,0.232925221,0.399641626,0.364065258,0.524062283,0.111872459,0.960342656,0.0016671,0.037990244,0.332930442,0.159865249,0.507204309,0.82108492,0.0052404,0.173674679,0.008686891,0.233547193,0.757765916,0.737232252,0.039974721,0.222793027
,,,S3,0.969800248,0.016892377,0.013307375,0.516406718,0.449556927,0.034036355,0.171731694,0.186706061,0.641562245,0.157629151,0.809644585,0.032726264,0.140865292,0.526801846,0.332332862,0.626358913,0.299068945,0.074572142,0.652779155,0.306226533,0.040994312,0.881579058,0.117793957,0.000626985
,,,S4,0.686003813,0.294177345,0.019818842,0.367433153,0.232925221,0.399641626,0.364065258,0.524062283,0.111872459,0.425283389,0.418035049,0.156681562,0.365280152,0.029902062,0.604817786,0.982155861,0.004353087,0.013491052,0.231220142,0.72211653,0.046663328,0.78772421,0.027436112,0.184839678
60,60,5,S1,0.844167777,0.138566666,0.017265558,0.45285329,0.322599939,0.224546771,0.370333692,0.188128349,0.44153796,0.286809337,0.090456061,0.622734602,0.601760136,0.238116195,0.160123668,0.815971666,0.104792092,0.079236242,0.054301078,0.558206836,0.387492086,0.859517174,0.07089091,0.069591917
,,,S2,0.901643702,0.096384729,0.001971568,0.468652493,0.146799995,0.384547513,0.183509749,0.335190934,0.481299317,0.212368878,0.408486736,0.379144385,0.438655132,0.481223882,0.080120986,0.211533447,0.120639243,0.66782731,0.457345792,0.13589192,0.406762289,0.273095579,0.147105876,0.579798545
,,,S3,0.381925171,0.109352767,0.508722062,0.576306451,0.132100475,0.291593074,0.766815204,0.055600627,0.177584168,0.699467158,0.12848873,0.172044113,0.098333543,0.26240773,0.639258728,0.352125812,0.083333536,0.564540652,0.062201924,0.850561684,0.087236392,0.698853611,0.028080791,0.273065598
10,120,5,S1,0.896424478,0.053059361,0.050516161,0.69275009,0.026051925,0.281197985,0.40478056,0.506302019,0.088917421,0.582527946,0.183606298,0.233865756,0.607533344,0.223272239,0.169194417,0.546654946,0.424330743,0.029014311,0.896281983,0.100579852,0.003138165,0.141860009,0.453152203,0.404987788
,,,S2,0.896424478,0.053059361,0.050516161,0.69275009,0.026051925,0.281197985,0.40478056,0.506302019,0.088917421,0.582527946,0.183606298,0.233865756,0.607533344,0.223272239,0.169194417,0.546654946,0.424330743,0.029014311,0.896281983,0.100579852,0.003138165,0.891649533,0.010311437,0.09803903
,,,S3,0.896424478,0.053059361,0.050516161,0.69275009,0.026051925,0.281197985,0.40478056,0.506302019,0.088917421,0.582527946,0.183606298,0.233865756,0.607533344,0.223272239,0.169194417,0.546654946,0.424330743,0.029014311,0.896281983,0.100579852,0.003138165,0.891649533,0.010311437,0.09803903
,,,S4,0.809317144,0.146441128,0.044241728,0.118256804,0.023776642,0.857966554,0.40478056,0.506302019,0.088917421,0.582527946,0.183606298,0.233865756,0.607533344,0.223272239,0.169194417,0.546654946,0.424330743,0.029014311,0.896281983,0.100579852,0.003138165,0.891649533,0.010311437,0.09803903
,,,S5,0.896424478,0.053059361,0.050516161,0.118256804,0.023776642,0.857966554,0.220247654,0.019271908,0.760480438,0.709847606,0.11035935,0.179793044,0.059849714,0.001276505,0.938873781,0.391356495,0.292478471,0.316165035,0.134531601,0.35913,0.506338399,0.891649533,0.010311437,0.09803903
