population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud
10,60,1.5,S1,0.884185438,0.082507927,0.033306636,0.88868497,0.103570816,0.007744215,0.840630324,0.024030489,0.135339187,0.431101449,0.148326857,0.420571694,0.074127512,0.065245378,0.86062711,0.971038642,0.012573146,0.016388212,0.742902041,0.220785429,0.036312529,0.913972416,0.060549585,0.025477999
,,,S2=S6,0.991652918,0.002183228,0.006163854,0.323065032,0.369906372,0.307028596,0.413949973,0.50655666,0.079493366,0.431101449,0.148326857,0.420571694,0.074127512,0.065245378,0.86062711,0.971038642,0.012573146,0.016388212,0.742902041,0.220785429,0.036312529,0.913972416,0.060549585,0.025477999
,,,S3=S5=S7,0.991652918,0.002183228,0.006163854,0.323065032,0.369906372,0.307028596,0.413949973,0.50655666,0.079493366,0.912170149,0.076319955,0.011509896,0.891449456,0.097209818,0.011340726,0.971038642,0.012573146,0.016388212,0.742902041,0.220785429,0.036312529,0.913972416,0.060549585,0.025477999
,,,S4,0.991652918,0.002183228,0.006163854,0.323065032,0.369906372,0.307028596,0.701079215,0.20311324,0.095807545,0.99877051,0.000401272,0.000828219,0.162304091,0.638216171,0.199479738,0.038790232,0.838588074,0.122621694,0.366516282,0.375812997,0.257670721,0.776648638,0.108927102,0.114424259
,,,S5=S3=S7,0.991652918,0.002183228,0.006163854,0.323065032,0.369906372,0.307028596,0.413949973,0.50655666,0.079493366,0.912170149,0.076319955,0.011509896,0.891449456,0.097209818,0.011340726,0.971038642,0.012573146,0.016388212,0.742902041,0.220785429,0.036312529,0.913972416,0.060549585,0.025477999
,,,S6=S2,0.991652918,0.002183228,0.006163854,0.323065032,0.369906372,0.307028596,0.413949973,0.50655666,0.079493366,0.431101449,0.148326857,0.420571694,0.074127512,0.065245378,0.86062711,0.971038642,0.012573146,0.016388212,0.742902041,0.220785429,0.036312529,0.913972416,0.060549585,0.025477999
,,,S7=S3=S5,0.991652918,0.002183228,0.006163854,0.323065032,0.369906372,0.307028596,0.413949973,0.50655666,0.079493366,0.912170149,0.076319955,0.011509896,0.891449456,0.097209818,0.011340726,0.971038642,0.012573146,0.016388212,0.742902041,0.220785429,0.036312529,0.913972416,0.060549585,0.025477999
,,,S8,0.991652918,0.002183228,0.006163854,0.323065032,0.369906372,0.307028596,0.701079215,0.20311324,0.095807545,0.99877051,0.000401272,0.000828219,0.162304091,0.638216171,0.199479738,0.038790232,0.838588074,0.122621694,0.366516282,0.375812997,0.257670721,0.913972416,0.060549585,0.025477999
,,,S9,0.300681009,0.579392481,0.11992651,0.909175316,0.083348007,0.007476677,0.701079215,0.20311324,0.095807545,0.99877051,0.000401272,0.000828219,0.162304091,0.638216171,0.199479738,0.75062116,0.225649112,0.023729728,0.10613624,0.72471735,0.16914641,0.975987712,0.022311009,0.001701279
30,60,1.5,S1,0.616518727,0.312036099,0.071445174,0.257412623,0.015994164,0.726593213,0.44423663,0.256487677,0.299275692,0.709927009,0.270154055,0.019918936,0.294522292,0.514586055,0.190891653,0.163730726,0.644632062,0.191637212,0.445255885,0.268275466,0.286468649,0.413620017,0.133194558,0.453185424
,,,S2,0.927889525,0.072110331,1.44E-07,0.49621656,0.213383449,0.290399991,0.5797775,0.317934974,0.102287526,0.096580124,0.637832116,0.26558776,0.826508594,0.157306881,0.016184525,0.876932344,0.02589687,0.097170786,0.505203531,0.027585959,0.46721051,0.066602634,0.856684726,0.07671264
,,,S3,0.671852368,0.130912795,0.197234837,0.851116238,0.102928204,0.045955559,0.510383784,0.347866624,0.141749592,0.965872577,0.00741287,0.026714553,0.207909043,0.538012739,0.254078217,0.719585861,0.277444683,0.002969457,0.173346378,0.340525414,0.486128208,0.10427657,0.172280687,0.723442743
,,,S4,0.94896658,0.042594065,0.008439355,0.14207383,0.326753172,0.531172999,0.291078395,0.641331407,0.067590197,0.544179386,0.318908597,0.136912017,0.585799915,0.028901273,0.385298812,0.44582711,0.255450825,0.298722065,0.913793614,0.039182307,0.047024079,0.624875029,0.356281199,0.018843772
,,,S5,0.781194585,0.19278407,0.026021345,0.47748994,0.433070775,0.089439285,0.5797775,0.317934974,0.102287526,0.096580124,0.637832116,0.26558776,0.826508594,0.157306881,0.016184525,0.876932344,0.02589687,0.097170786,0.505203531,0.027585959,0.46721051,0.066602634,0.856684726,0.07671264
,,,S6,0.927889525,0.072110331,1.44E-07,0.49621656,0.213383449,0.290399991,0.677521072,0.288647284,0.033831644,0.513454215,0.456117157,0.030428628,0.079075069,0.766660251,0.15426468,0.240419409,0.227520119,0.532060472,0.718244581,0.269686871,0.012068548,0.105034317,0.621377764,0.273587919
,,,S7,0.671852368,0.130912795,0.197234837,0.851116238,0.102928204,0.045955559,0.510383784,0.347866624,0.141749592,0.965872577,0.00741287,0.026714553,0.207909043,0.538012739,0.254078217,0.719585861,0.277444683,0.002969457,0.325426414,0.646794623,0.027778963,0.345808381,0.348311941,0.305879679
,,,S8,0.33723503,0.635926433,0.026838537,0.830071187,0.011896347,0.158032466,0.567033571,0.034590835,0.398375594,0.693067685,0.111040294,0.19589202,0.17255355,0.450281346,0.377165104,0.118872642,0.630715932,0.250411426,0.148080935,0.780375368,0.071543696,0.917690153,0.046719533,0.035590313
,,,S9,0.94896658,0.042594065,0.008439355,0.14207383,0.326753172,0.531172999,0.744487245,0.210429128,0.045083628,0.831015557,0.084279,0.084705442,0.125385902,0.752117667,0.122496431,0.377651474,0.329167364,0.293181162,0.328907833,0.42737691,0.243715258,0.081323655,0.084089682,0.834586663
60,60,1.5,S1,0.162399965,0.798084618,0.039515417,0.272432407,0.402306114,0.325261479,0.463036059,0.275420907,0.261543034,0.668181926,0.151611853,0.180206221,0.560799833,0.367961647,0.071238519,0.864216489,0.004777482,0.131006029,0.153032523,0.617455528,0.229511949,0.65100588,0.294252149,0.054741971
,,,S2,0.446475096,0.45392,0.099604904,0.467012261,0.4800588,0.052928939,0.052414306,0.828408362,0.119177332,0.046357776,0.30371133,0.649930894,0.598386672,0.387851072,0.013762256,0.237548471,0.731214857,0.031236673,0.802079265,0.018840779,0.179079957,0.931802122,0.017765617,0.050432261
,,,S3,0.92948283,0.044751353,0.025765817,0.21747909,0.716331476,0.066189434,0.356593572,0.417185456,0.226220972,0.411297232,0.506094958,0.082607811,0.388142221,0.205979587,0.405878192,0.677501188,0.242343909,0.080154903,0.155197753,0.504903826,0.339898421,0.399275549,0.275145069,0.325579382
,,,S4,0.037025617,0.843552143,0.11942224,0.044345124,0.393774536,0.56188034,0.333921725,0.582529911,0.083548364,0.503225618,0.470806294,0.025968088,0.012901346,0.041875054,0.9452236,0.499677549,0.347468928,0.152853522,0.57624305,0.422385796,0.001371155,0.155912097,0.832257793,0.01183011
,,,S5,0.232172189,0.715215402,0.052612409,0.799421565,0.073855834,0.126722601,0.610629281,0.352156615,0.037214104,0.18812618,0.684872817,0.127001003,0.924328023,0.003213167,0.07245881,0.20752624,0.266966824,0.525506936,0.307797346,0.61309336,0.079109295,0.57679081,0.119193823,0.304015367
,,,S6,0.758498423,0.22739123,0.014110347,0.552660607,0.00711707,0.440222323,0.228355032,0.634360869,0.137284099,0.566998354,0.32591578,0.107085866,0.690644852,0.171316087,0.138039062,0.246434536,0.678461541,0.075103923,0.799117743,0.14469043,0.056191827,0.432059821,0.190009113,0.377931066
,,,S7,0.092798641,0.852120017,0.055081342,0.880801286,0.002136951,0.117061763,0.683965741,0.313836876,0.002197383,0.349579617,0.305521487,0.344898896,0.099438603,0.223834092,0.676727305,0.176160881,0.642192063,0.181647056,0.02764711,0.938974294,0.033378596,0.868241017,0.120605978,0.011153005
,,,S8,0.959178888,0.020310776,0.020510336,0.926046088,0.047485762,0.02646815,0.050943479,0.104986754,0.844069767,0.563914529,0.084576418,0.351509053,0.873952746,0.09808325,0.027964004,0.625542278,0.205643029,0.168814693,0.233981112,0.53053544,0.235483449,0.062405733,0.906525611,0.031068656
,,,S9,0.662855477,0.27310115,0.064043374,0.350896038,0.367466876,0.281637086,0.844678388,0.071570864,0.083750747,0.992356669,0.007279764,0.000363567,0.176824718,0.318259917,0.504915365,0.06287583,0.748061687,0.189062483,0.894249503,0.063665007,0.04208549,0.636890002,0.078352132,0.284757866
10,120,1.5,S1,0.760866933,0.230676251,0.008456816,0.561467884,0.399222527,0.039309589,0.837037879,0.103224114,0.059738007,0.949329006,0.035683556,0.014987437,0.924720306,0.073809019,0.001470675,0.814609959,0.180882583,0.004507458,0.342696316,0.301281128,0.356022556,0.167977448,0.003274087,0.828748465
,,,S2,0.760866933,0.230676251,0.008456816,0.768873387,0.022166558,0.208960054,0.496294625,0.128475354,0.375230021,0.949329006,0.035683556,0.014987437,0.924720306,0.073809019,0.001470675,0.62903548,0.097876386,0.273088135,0.667505332,0.285935975,0.046558693,0.861459013,0.036813855,0.101727132
,,,S3,0.760866933,0.230676251,0.008456816,0.561467884,0.399222527,0.039309589,0.837037879,0.103224114,0.059738007,0.949329006,0.035683556,0.014987437,0.924720306,0.073809019,0.001470675,0.814609959,0.180882583,0.004507458,0.342696316,0.301281128,0.356022556,0.167977448,0.003274087,0.828748465
,,,S4,0.760866933,0.230676251,0.008456816,0.768873387,0.022166558,0.208960054,0.496294625,0.128475354,0.375230021,0.949329006,0.035683556,0.014987437,0.924720306,0.073809019,0.001470675,0.814609959,0.180882583,0.004507458,0.342696316,0.301281128,0.356022556,0.167977448,0.003274087,0.828748465
,,,S5,0.760866933,0.230676251,0.008456816,0.768873387,0.022166558,0.208960054,0.496294625,0.128475354,0.375230021,0.949329006,0.035683556,0.014987437,0.924720306,0.073809019,0.001470675,0.62903548,0.097876386,0.273088135,0.667505332,0.285935975,0.046558693,0.861459013,0.036813855,0.101727132
,,,S6,0.760866933,0.230676251,0.008456816,0.561467884,0.399222527,0.039309589,0.837037879,0.103224114,0.059738007,0.787274527,0.18944286,0.023282613,0.841561292,0.06492299,0.093515718,0.995910442,0.003116744,0.000972814,0.342696316,0.301281128,0.356022556,0.381182622,0.481156415,0.137660963
,,,S7,0.760866933,0.230676251,0.008456816,0.561467884,0.399222527,0.039309589,0.837037879,0.103224114,0.059738007,0.949329006,0.035683556,0.014987437,0.924720306,0.073809019,0.001470675,0.814609959,0.180882583,0.004507458,0.277831618,0.621535566,0.100632816,0.381182622,0.481156415,0.137660963
,,,S8,0.760866933,0.230676251,0.008456816,0.768873387,0.022166558,0.208960054,0.496294625,0.128475354,0.375230021,0.949329006,0.035683556,0.014987437,0.924720306,0.073809019,0.001470675,0.62903548,0.097876386,0.273088135,0.667505332,0.285935975,0.046558693,0.861459013,0.036813855,0.101727132
,,,S9,0.760866933,0.230676251,0.008456816,0.561467884,0.399222527,0.039309589,0.837037879,0.103224114,0.059738007,0.949329006,0.035683556,0.014987437,0.924720306,0.073809019,0.001470675,0.814609959,0.180882583,0.004507458,0.277831618,0.621535566,0.100632816,0.381182622,0.481156415,0.137660963
,,,S10,0.760866933,0.230676251,0.008456816,0.768873387,0.022166558,0.208960054,0.496294625,0.128475354,0.375230021,0.949329006,0.035683556,0.014987437,0.924720306,0.073809019,0.001470675,0.62903548,0.097876386,0.273088135,0.667505332,0.285935975,0.046558693,0.861459013,0.036813855,0.101727132
30,120,1.5,S1,0.507448652,0.476264326,0.016287022,0.748818309,0.245717083,0.005464609,0.850340553,0.067839554,0.081819893,0.811456313,0.075273209,0.113270478,0.534013983,0.276743591,0.189242426,0.56104554,0.163311252,0.275643208,0.013986101,0.188356175,0.797657724,0.332801951,0.433753866,0.233444183
,,,S2,0.966369106,0.005577033,0.028053861,0.466533676,0.217654191,0.315812132,0.240249758,0.137951512,0.62179873,0.267691527,0.31755039,0.414758083,0.917051113,0.034303077,0.048645811,0.593721613,0.30827447,0.098003917,0.10061861,0.526865326,0.372516064,0.70942389,0.218324601,0.072251509
,,,S3,0.575684088,0.412793849,0.011522063,0.60676603,0.119654738,0.273579232,0.5561261,0.039715434,0.404158466,0.930662711,0.027271872,0.042065417,0.844249591,0.083642246,0.072108163,0.295414883,0.644759197,0.059825921,0.86548365,0.035704088,0.098812262,0.91001996,0.012195759,0.077784281
,,,S4,0.362892535,0.629609957,0.007497508,0.945501863,0.02428507,0.030213067,0.190878815,0.120761639,0.688359546,0.286764631,0.63202515,0.081210219,0.835870359,0.141225048,0.022904593,0.415108139,0.573067802,0.011824059,0.013986101,0.188356175,0.797657724,0.332801951,0.433753866,0.233444183
,,,S5,0.267090127,0.685219963,0.047689909,0.530949189,0.080313446,0.388737365,0.227268613,0.606167431,0.166563956,0.960222819,0.022396473,0.017380708,0.021709062,0.295688939,0.682601999,0.759203746,0.207662169,0.033134084,0.672511397,0.302149535,0.025339068,0.99232763,0.001455753,0.006216617
