NormalActuate,AlertActuate,CriticalActuate
0.84,2.51,7.107
0.796,2.506,6.574
0.801,2.534,6.689
0.948,3.036,6.007
0.811,2.563,6.689
0.828,2.398,6.616
1.158,2.764,5.929
1.078,3.004,6.079
1.27,3.188,6.272
1.585,3.758,5.841
1.862,2.923,5.752
1.372,2.717,5.961
1.011,2.979,7.011
1.257,3.283,6.272
1.189,3.239,6.127
1.309,2.829,5.987
1.026,3.004,7.014
1.482,2.73,5.911
1.202,2.7,6.283
1.276,3.493,6.142
1.011,3.457,6.469
1.306,2.601,6.2
2.094,2.902,6.804
1.814,3.296,6.256
1.407,2.338,6.178
1.882,3.572,6.473
2.104,2.914,6.444
1.352,2.527,5.994
1.434,2.476,6.121
1.976,3.661,6.567
1.455,2.935,5.861
1.195,2.596,5.813
1.222,2.601,5.958
1.149,2.639,6.126
1.248,2.575,5.795
1.105,2.619,6.12
0.976,3.061,6.239
0.907,3.65,5.732
1.427,3.705,6.167
1.456,3.033,5.98
1.273,3.409,5.905
1.429,2.551,7.013
2.227,2.807,5.696
1.267,3.195,5.797
1.248,3.194,6.019
1.362,3.256,6.278
1.618,2.848,6.223
1.097,3.362,6.499
0.955,3.188,6.585
1.492,3.057,5.998
1.419,2.524,6.784
1.465,2.909,6.299
1.246,3.063,6.803
1.333,3.079,6.331
1.56,3.138,5.989
1.588,2.821,5.696
1.626,2.704,5.974
1.391,2.962,5.677
1.354,3.373,6.064
1.311,2.936,6.118
1.314,2.579,7.179
1.474,2.86,5.93
1.585,2.716,6.479
1.495,3.054,5.7
1.949,2.593,6.284
1.451,2.841,6.909
0.959,3.135,6.051
0.78,3.267,5.988
1.08,3.096,5.867
1.344,2.602,6.949
1.648,2.935,5.713
1.534,2.955,5.647
1.503,2.732,7.057
1.591,2.991,5.533
1.22,2.804,6.995
1.538,2.907,7.044
1.5,2.771,7.038
1.459,2.805,5.623
1.24,2.739,6.899
1.804,2.589,5.954
1.134,2.886,6.424
1.428,3.18,5.972
1.553,3.093,6.287
1.076,2.849,6.324
1.519,3.224,5.87
2.034,2.701,6.758
1.246,2.871,5.866
1.37,2.741,5.87
1.225,2.8,5.857
2.015,2.611,5.803
1.277,3.27,5.909
1.043,2.809,6.252
1.036,2.73,6.529
0.964,3.791,6.548
1.257,2.749,5.96
1.211,3.471,5.927
1.77,3.483,5.71
1.421,3.098,5.753
1.339,2.738,5.57
1.319,3.167,5.686
1.547,2.868,5.994
1.755,3.315,5.885
0.895,2.875,6.648
1.091,2.803,6.152
1.816,3.522,5.701
1.294,3.041,5.949
1.606,2.861,6.05
0.929,2.582,6.338
1.569,2.941,5.861
0.85,3.23,6.397
1.177,3.021,5.987
1.229,2.906,6.153
1.07,2.675,6.125
1.807,2.814,6.2
1.457,2.867,5.944
2.466,3.075,5.977
1.582,3.161,5.841
2.114,3.177,5.883
2.083,2.668,6.772
1.547,3.485,5.976
2.11,2.751,5.741
0.919,3.783,6.726
1.027,2.669,6.339
1.422,3.209,5.517
1.524,3.134,5.839
1.155,2.906,5.915
1.121,2.702,6.48
2.139,2.543,6.312
2.075,3.096,5.744
2.001,2.856,5.936
1.92,3.773,5.638
1.549,3.054,5.831
1.56,2.978,5.79
1.43,3.424,5.778
1.737,2.62,6.275
1.959,2.61,6.186
1.22,2.548,6.481
1.235,3.175,6.067
1.352,2.849,5.958
1.119,3.298,6.241
1.329,2.682,6.107
1.386,3.668,5.784
0.958,2.85,6.338
1.898,3.149,6.448
1.924,3.738,6.542
1.168,3.719,6.507
2.031,2.73,6.469
1.755,3.16,6.46
1.448,3.187,6.39
2.022,2.636,6.472
1.194,3.728,6.496
2.265,3.763,6.46
1.593,3.157,6.368
2.223,3.575,5.527
2.222,2.629,5.856
0.904,2.909,6.162
1.539,3.248,5.756
2.187,2.66,6.18
1.41,2.976,5.914
1.852,2.613,5.874
2.109,3.543,5.538
1.118,3.41,5.91
2.327,2.883,5.672
1.665,3.547,5.531
1.709,3.478,5.587
1.274,2.888,6.156
1.687,3.556,5.673
1.333,2.67,6.024
1.12,2.709,6.279
1.436,2.613,6.064
1.385,2.961,5.839
1.267,2.938,5.871
1.222,2.797,6.381
1.071,2.73,5.921
1.061,2.705,6.329
1.465,2.688,5.981
1.429,3.501,5.638
1.572,2.633,5.803
1.339,2.67,6.007
1.131,2.821,6.212
1.394,2.908,5.888
0.956,2.869,6.346
1.286,2.728,6.009
1.888,3.727,6.417
1.892,3.194,5.631
1.383,2.697,6.222
1.29,3.189,5.781
1.403,2.729,6.213
1.487,2.703,6.197
1.464,4.161,7.522
1.861,3.687,6.448
1.874,2.636,6.259
1.998,3.446,6.28
1.24,3.265,6.205
1.307,2.508,6.789
1.915,3.713,6.58
1.237,3.118,5.784
1.821,2.597,6.245
1.546,2.613,5.997
1.91,2.86,5.848
1.439,2.988,5.719
1.127,3.188,6.18
1.649,3.731,6.91
1.338,2.978,5.829
0.931,2.979,6.366
1.229,2.575,5.894
1.921,3.044,5.65
1.101,3.018,6.26
0.78,3.488,6.988
1.366,2.762,5.825
1.924,2.636,6.171
1.04,2.946,6.448
1.295,2.563,6.679
1.038,3.085,6.107
0.814,3.347,6.089
1.247,2.873,5.761
0.872,3.694,6.752
0.983,2.978,6.441
1.107,2.767,6.202
1.817,2.653,6.158
1.331,2.628,6.815
1.322,3.149,5.629
1.551,2.646,6.254
1.326,2.534,6.194
1.355,2.929,6.473
1.455,2.553,6.142
1.317,2.825,5.949
1.281,2.605,5.991
1.143,3.334,6.469
1.344,2.965,6.534
1.446,3.483,5.644
1.996,3.053,6.209
1.315,2.571,5.979
1.313,2.505,5.758
1.119,3.642,5.975
1.379,3.133,6.169
1.223,3.04,6.293
0.936,3.262,5.905
1.228,2.866,6.357
1.353,2.882,5.971
1.315,2.581,5.982
1.087,3.25,6.582
1.454,2.991,5.749
1.415,2.669,6.265
1.589,2.84,5.737
1.069,3.655,6.055
1.375,3.087,6.445
1.12,3.327,6.051
1.517,3.083,5.508
1.275,2.842,6.208
1.137,3.026,6.21
1.373,2.855,5.948
1.352,4.059,5.812
1.245,3.304,5.901
1.664,4.099,5.479
0.996,3.003,6.041
1.548,2.728,5.766
1.248,2.766,6.64
1.027,3.035,5.902
1.372,2.867,5.787
1.335,2.942,6.409
1.249,2.715,7.006
0.783,2.805,6.817
1.784,2.747,5.855
1.289,2.808,6.545
2.43,3.101,5.688
1.428,2.852,5.804
1.209,2.842,6.233
1.644,4.037,5.627
1.131,3.432,5.823
1.315,2.726,5.986
1.269,2.824,5.808
1.838,2.534,6.023
1.01,3.271,6.175
1.196,2.959,6.098
1.311,2.943,6.142
1.545,3.404,5.629
1.105,2.701,6.387
1.196,3.825,5.849
1.452,3.158,5.635
1.268,3.052,5.881
1.195,3.021,5.718
1.17,3.857,5.715
1.252,3.016,6.005
2.088,2.542,6.711
1.126,3.954,6.157
1.447,2.79,6.014
1.412,3.005,6.132
1.652,2.577,5.797
1.548,3.216,5.977
1.158,3.14,5.905
1.189,2.732,6.189
1.353,3.429,5.816
1.273,2.665,6.439
1.301,3.172,6.073
1.076,2.864,6.378
0.898,3.358,7.032
1.531,2.886,5.966
1.48,2.632,6.258
1.069,2.519,6.527
1.554,2.596,6.169
2.271,3.281,5.787
1.906,2.869,5.931
1.44,2.922,5.734
1.275,3.262,6.017
1.336,2.94,6.197
0.986,2.834,6.428
1.754,2.653,5.933
1.134,3.304,5.926
1.739,2.548,6.666
1.207,2.933,6.449
1.814,3.68,5.646
1.302,3.363,5.849
0.94,2.948,6.325
0.869,3.498,6.321
