NormalActuate,AlertActuate,CriticalActuate
2.86,5.49,8.137
3.038,4.834,8.238
2.678,4.527,8.484
434.041,7005.603,5699.355
2.709,5.404,8.037
3.321,4.88,8.548
3.521,4.942,7.791
3.345,4.683,8.529
3.108,4.853,8.286
3.165,5.325,7.744
2.563,5.023,9.617
3.486,4.723,8.371
3.412,4.172,8.147
3.486,5.194,7.931
2.748,5.484,7.902
2.798,6.731,8.042
3.273,4.489,7.795
2.882,5.662,7.881
2.995,5.469,7.606
3.192,4.502,7.66
2.809,5.282,7.844
2.535,4.527,8.107
2.979,5.403,8.127
3.113,4.444,8.049
4.05,5.839,7.462
3.582,5.54,7.259
3.083,5.588,7.92
2.857,4.351,7.909
2.798,4.806,8.029
2.5,4.26,8.288
3.783,5.324,7.309
2.928,4.481,7.841
2.939,4.265,8.082
2.298,4.496,8.057
2.697,4.901,7.775
2.682,4.902,7.681
3.827,4.672,8.24
2.409,4.905,8.576
2.947,4.925,8.241
3.17,4.69,8.314
3.273,4.967,7.952
3.317,5.389,7.908
3.238,4.632,8.407
2.454,5.648,7.985
2.899,5.434,7.866
3.628,4.732,7.696
2.978,4.535,9.127
4.27,4.077,8.066
2.629,4.986,8.633
2.552,6.282,8.327
3.955,6.169,7.557
3.958,4.765,8.15
3.254,4.75,7.949
3.39,5.166,7.731
3.919,4.549,7.407
3.5,4.682,9.027
