NormalActuate,AlertActuate,CriticalActuate
0.647,2.558,5.348
0.62,2.168,5.286
0.631,2.069,5.88
0.622,2.558,5.155
0.937,2.099,5.671
0.599,2.052,5.816
0.656,2.069,5.641
0.631,2.239,5.351
0.622,2.2,5.171
0.657,2.21,5.681
0.785,2.123,5.635
1.101,2.514,5.188
0.853,2.397,5.396
0.656,2.844,5.23
1.032,2.429,5.255
0.773,2.475,5.4
0.757,2.243,5.52
0.995,2.221,5.45
1.012,2.303,5.3
1.24,2.515,5.352
1.081,2.262,5.117
1.247,2.047,5.304
1.306,2.268,5.188
1.042,2.147,5.606
0.6,2.301,5.424
0.976,2.12,5.56
1.223,2.702,5.117
1.357,2.056,5.448
0.792,2.108,5.928
1.419,4.488,6.951
1.419,3.906,6.681
1.588,2.756,5.932
1.388,4.305,6.338
1.394,3.728,6.355
1.382,3.936,6.789
1.418,2.799,6.124
1.42,3.97,6.684
1.416,2.835,5.905
0.592,2.374,5.204
0.723,2.258,5.618
0.629,2.327,5.448
0.677,2.301,5.661
0.849,2.064,5.425
0.472,2.051,6.615
0.636,2.304,5.489
0.693,2.271,5.509
0.684,2.223,6.346
0.647,2.264,5.963
0.853,2.036,5.86
0.986,3.732,5.127
1.058,2.395,5.261
0.961,2.29,5.77
1.478,2.242,5.297
0.822,2.792,5.382
1.21,2.324,5.319
1.065,2.168,5.453
1.074,2.476,5.348
0.551,2.202,5.664
0.87,2.803,5.395
1.201,2.361,5.237
0.74,1.978,5.445
1.079,2.482,5.345
0.936,3.017,5.46
0.989,2.953,5.267
1.175,2.158,5.737
0.921,2.384,5.235
0.725,2.828,5.416
1.557,2.138,5.501
0.766,2.465,5.283
1.056,2.166,5.573
0.55,3.037,5.425
0.953,2.259,5.275
1.055,2.314,5.279
0.926,2.563,5.179
0.709,2.093,5.607
1.198,2.486,5.188
0.669,2.402,5.814
0.799,2.109,5.628
0.655,2.734,5.57
0.921,2.231,5.213
0.689,2.747,5.241
0.653,2.654,5.155
0.664,2.131,6.062
0.808,2.451,5.127
0.863,2.253,5.037
0.661,2.12,6.098
0.923,2.22,5.235
0.665,2.085,6.222
0.688,2.031,6.018
0.526,2.313,5.641
0.677,2.098,5.322
0.523,2.31,5.641
0.619,2.321,5.283
0.636,2.099,5.321
0.55,2.284,5.184
0.756,2.232,5.175
0.755,2.217,5.473
1.144,2.099,5.901
0.655,2.213,5.328
0.63,2.193,5.335
1.178,2.091,5.252
0.566,2.225,5.978
1.267,2.775,5.102
0.591,2.401,5.198
1.475,2.86,5.224
1.146,2.157,5.315
0.765,2.313,5.207
0.589,2.203,5.307
0.873,2.184,5.561
0.63,2.552,5.306
1.132,2.179,5.545
0.559,2.49,6.209
0.599,2.525,5.297
1.206,3.001,5.235
0.752,2.242,5.283
0.762,2.274,5.424
1.622,2.07,5.671
0.506,2.335,5.584
0.671,2.868,5.472
0.792,2.111,5.886
0.721,2.221,5.487
0.988,2.225,5.518
1.125,2.245,5.834
1.367,2.154,5.628
0.717,2.259,5.341
1.15,2.14,5.847
0.723,2.297,5.109
0.743,2.46,5.366
2.036,2.647,6.086
1.292,2.699,6.058
1.955,2.789,6.383
2.048,2.66,6.115
1.969,2.852,6.447
1.254,2.697,5.958
1.96,2.83,6.286
2.035,2.534,6.125
1.933,2.631,6.103
1.259,2.652,6.116
1.511,2.425,5.243
1.063,2.856,5.512
1.018,2.513,5.314
0.723,2.453,5.195
0.788,2.362,5.507
0.59,2.795,5.374
0.712,2.668,5.52
0.698,2.827,5.459
0.765,2.474,5.289
0.605,2.344,5.296
1.518,2.399,5.311
0.68,2.341,5.46
0.724,2.448,5.201
1.478,2.414,5.316
0.633,2.516,5.25
0.61,2.374,5.366
0.659,2.079,5.902
1.027,2.468,5.134
0.749,2.494,5.259
0.59,2.2,5.985
0.618,2.775,5.509
0.777,2.198,5.23
0.908,2.006,5.697
0.936,2.267,5.357
0.575,2.971,5.434
0.953,2.102,5.524
1.299,2.39,5.876
0.888,2.133,5.714
0.759,2.187,5.137
0.946,1.975,5.48
0.965,2.157,5.562
0.677,2.125,5.425
0.898,2.303,5.315
0.876,1.968,5.686
0.977,2.175,5.248
0.705,2.102,5.573
0.93,2.19,5.057
0.928,2.135,5.362
0.828,2.235,5.236
0.664,2.013,5.721
0.81,2.883,5.314
0.66,2.146,5.587
0.699,2.144,5.553
0.689,2.642,5.411
0.897,2.13,5.509
1.455,2.76,5.08
1.022,2.095,5.695
1.459,2.15,5.226
1.007,2.146,5.249
1.395,2.651,4.955
1.516,2.139,5.235
0.801,2.582,5.229
0.777,2.6,5.25
1.254,2.686,5.144
1.041,2.291,5.149
1.377,2.034,5.244
0.952,2.404,5.214
0.943,2.208,5.297
0.64,2.514,5.489
1.252,2.248,5.976
0.75,2.754,5.264
1.068,2.106,5.569
0.597,2.967,5.217
