population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud,,,,,,
30,360,5,S1,0.910624495,0.032452197,0.056923307,0.052648327,0.473025566,0.474326108,0.250947318,0.697174709,0.051877973,0.991473327,0.005725136,0.002801537,0.020912996,0.082233979,0.896853025,0.352350977,0.481388046,0.166260977,0.146079389,0.279136653,0.574783959,0.259004104,0.586156471,0.154839426,,3.9754,22.5935,20.6094,,1218
,,,S2,0.792886987,0.131866271,0.075246742,0.908247964,0.024324224,0.067427812,0.250947318,0.697174709,0.051877973,0.991473327,0.005725136,0.002801537,0.020912996,0.082233979,0.896853025,0.449806161,0.440215275,0.109978564,0.284831454,0.351838863,0.363329683,0.784245431,0.12470524,0.091049329,,3.7026,9.4946,10.0003,,18
,,,S3,0.343659163,0.640291705,0.016049132,0.828837577,0.011599158,0.159563264,0.250947318,0.697174709,0.051877973,0.991473327,0.005725136,0.002801537,0.020912996,0.082233979,0.896853025,0.352350977,0.481388046,0.166260977,0.146079389,0.279136653,0.574783959,0.259004104,0.586156471,0.154839426,,4.0058,23.3253,21.4864,,677
,,,S4,0.792886987,0.131866271,0.075246742,0.052648327,0.473025566,0.474326108,0.250947318,0.697174709,0.051877973,0.991473327,0.005725136,0.002801537,0.020912996,0.082233979,0.896853025,0.449806161,0.440215275,0.109978564,0.284831454,0.351838863,0.363329683,0.784245431,0.12470524,0.091049329,,3.8487,9.3877,10.1817,,20
,,,S5,0.910624495,0.032452197,0.056923307,0.052648327,0.473025566,0.474326108,0.250947318,0.697174709,0.051877973,0.991473327,0.005725136,0.002801537,0.020912996,0.082233979,0.896853025,0.352350977,0.481388046,0.166260977,0.146079389,0.279136653,0.574783959,0.737242703,0.077110835,0.185646462,,4.5784,23.6476,21.1442,,702
,,,S6,0.343659163,0.640291705,0.016049132,0.828837577,0.011599158,0.159563264,0.250947318,0.697174709,0.051877973,0.991473327,0.005725136,0.002801537,0.020912996,0.082233979,0.896853025,0.352350977,0.481388046,0.166260977,0.146079389,0.279136653,0.574783959,0.784245431,0.12470524,0.091049329,,4.0788,22.5725,18.5638,,851
,,,S7,0.792886987,0.131866271,0.075246742,0.908247964,0.024324224,0.067427812,0.148940424,0.617495364,0.233564212,0.98614463,0.006511364,0.007344006,0.517969409,0.124257835,0.357772756,0.002128475,0.844528996,0.153342529,0.11635734,0.400275769,0.483366891,0.339429772,0.397365367,0.26320486,,4.6531,7.4335,11.0105,,7
,,,S8,0.792886987,0.131866271,0.075246742,0.908247964,0.024324224,0.067427812,0.148940424,0.617495364,0.233564212,0.98614463,0.006511364,0.007344006,0.517969409,0.124257835,0.357772756,0.449806161,0.440215275,0.109978564,0.284831454,0.351838863,0.363329683,0.339429772,0.397365367,0.26320486,,4.6594,6.6096,9.8113,,19
,,,S9,0.910624495,0.032452197,0.056923307,0.052648327,0.473025566,0.474326108,0.148940424,0.617495364,0.233564212,0.98614463,0.006511364,0.007344006,0.517969409,0.124257835,0.357772756,0.382006767,0.362955252,0.255037981,0.11635734,0.400275769,0.483366891,0.784245431,0.12470524,0.091049329,,4.3137,6.5778,9.5318,,9
,,,S10,0.343659163,0.640291705,0.016049132,0.828837577,0.011599158,0.159563264,0.250947318,0.697174709,0.051877973,0.991473327,0.005725136,0.002801537,0.020912996,0.082233979,0.896853025,0.449806161,0.440215275,0.109978564,0.284831454,0.351838863,0.363329683,0.784245431,0.12470524,0.091049329,,3.683,9.7826,10.2607,,33
,,,S11,0.792886987,0.131866271,0.075246742,0.908247964,0.024324224,0.067427812,0.148940424,0.617495364,0.233564212,0.98614463,0.006511364,0.007344006,0.517969409,0.124257835,0.357772756,0.352350977,0.481388046,0.166260977,0.146079389,0.279136653,0.574783959,0.784245431,0.12470524,0.091049329,,4.1726,6.7596,10.2007,,8
,,,S12,0.792886987,0.131866271,0.075246742,0.908247964,0.024324224,0.067427812,0.148940424,0.617495364,0.233564212,0.98614463,0.006511364,0.007344006,0.517969409,0.124257835,0.357772756,0.449806161,0.440215275,0.109978564,0.146079389,0.279136653,0.574783959,0.784245431,0.12470524,0.091049329,,4.2317,6.4226,10.1655,,11
,,,S13,0.910624495,0.032452197,0.056923307,0.052648327,0.473025566,0.474326108,0.250947318,0.697174709,0.051877973,0.991473327,0.005725136,0.002801537,0.020912996,0.082233979,0.896853025,0.536128716,0.320357031,0.143514253,0.583995827,0.008077054,0.407927119,0.784245431,0.12470524,0.091049329,,3.4961,10.3996,10.4667,,38
,,,S14,0.343659163,0.640291705,0.016049132,0.828837577,0.011599158,0.159563264,0.148940424,0.617495364,0.233564212,0.98614463,0.006511364,0.007344006,0.517969409,0.124257835,0.357772756,0.352350977,0.481388046,0.166260977,0.146079389,0.279136653,0.574783959,0.784245431,0.12470524,0.091049329,,3.963,6.4036,10.0021,,13
,,,S15,0.910624495,0.032452197,0.056923307,0.052648327,0.473025566,0.474326108,0.250947318,0.697174709,0.051877973,0.991473327,0.005725136,0.002801537,0.020912996,0.082233979,0.896853025,0.449806161,0.440215275,0.109978564,0.284831454,0.351838863,0.363329683,0.784245431,0.12470524,0.091049329,,3.698,9.2922,10.0888,,34
,,,S16,0.910624495,0.032452197,0.056923307,0.052648327,0.473025566,0.474326108,0.148940424,0.617495364,0.233564212,0.98614463,0.006511364,0.007344006,0.517969409,0.124257835,0.357772756,0.449806161,0.440215275,0.109978564,0.146079389,0.279136653,0.574783959,0.784245431,0.12470524,0.091049329,,4.1872,6.3172,9.6054,,7
